scope,state,variant,metric,n,mean,std,median,better,worse,tied,recovered
all_seven,best,unfaded,pitch_mae_cents,7,91.50487028913867,112.77224509607203,43.190778212157305,0,0,7,0
all_seven,best,unfaded,onset_mae_ms,7,97.51778625246091,82.07936391551429,70.01206718231279,0,0,7,0
all_seven,best,unfaded,joint_event_error,7,0.10675203339514676,0.09147234633159501,0.06932109864941076,0,0,7,0
all_seven,best,unfaded,log_spectral_distance_db,7,14.708007756759224,7.550913116988817,15.444751423295745,0,0,7,0
all_seven,best,annealed,pitch_mae_cents,7,118.2219358887622,171.82349447473504,50.71190704017379,3,4,0,0
all_seven,best,annealed,onset_mae_ms,7,104.19716223421115,43.74271340055859,98.66906455641947,3,4,0,0
all_seven,best,annealed,joint_event_error,7,0.16368941730950262,0.11206975189017825,0.11417996154490602,3,4,0,0
all_seven,best,annealed,log_spectral_distance_db,7,14.771606688273852,3.631569672887093,16.83096832768014,4,3,0,0
all_seven,last,unfaded,pitch_mae_cents,7,135.43766837973553,177.42171221075284,52.32016780493008,0,0,7,0
all_seven,last,unfaded,onset_mae_ms,7,125.92930555028263,126.53395431451285,72.93733865941616,0,0,7,0
all_seven,last,unfaded,joint_event_error,7,0.13629737694330663,0.13908674681273894,0.06911094440593986,0,0,7,0
all_seven,last,unfaded,log_spectral_distance_db,7,15.464509844791497,7.943384026586506,15.880236183758669,0,0,7,0
all_seven,last,annealed,pitch_mae_cents,7,57.13499797586543,56.30760254650282,28.3759738039026,4,3,0,0
all_seven,last,annealed,onset_mae_ms,7,118.41382271170684,84.80471691833077,82.89172194724559,4,3,0,0
all_seven,last,annealed,joint_event_error,7,0.15726195283723032,0.10153531731979626,0.1369426207298099,4,3,0,0
all_seven,last,annealed,log_spectral_distance_db,7,13.76314794775661,2.719558716495074,13.969419460572917,5,2,0,0
other_five,best,unfaded,pitch_mae_cents,5,109.57523765193851,129.7832782559641,43.190778212157305,0,0,5,0
other_five,best,unfaded,onset_mae_ms,5,113.75418491219152,94.1625213140086,101.79532898859253,0,0,5,0
other_five,best,unfaded,joint_event_error,5,0.12221871012785086,0.10725410261278796,0.09393029579708226,0,0,5,0
other_five,best,unfaded,log_spectral_distance_db,5,15.161191940221965,9.103736431376523,16.87687915587985,0,0,5,0
other_five,best,annealed,pitch_mae_cents,5,146.78815571207085,199.7035092284902,50.71190704017379,2,3,0,0
other_five,best,annealed,onset_mae_ms,5,112.24805721132516,49.79955864835984,102.55345243961904,2,3,0,0
other_five,best,annealed,joint_event_error,5,0.19311610107691696,0.12149743080466462,0.14037345574300866,2,3,0,0
other_five,best,annealed,log_spectral_distance_db,5,14.628210201910226,3.716001265286381,16.83096832768014,3,2,0,0
other_five,last,unfaded,pitch_mae_cents,5,170.22024798629067,202.58647933975377,52.32016780493008,0,0,5,0
other_five,last,unfaded,onset_mae_ms,5,151.0247854237583,145.64841875225903,100.76142368902569,0,0,5,0
other_five,last,unfaded,joint_event_error,5,0.16323584433964816,0.16075701372991497,0.09170063905770981,0,0,5,0
other_five,last,unfaded,log_spectral_distance_db,5,16.072107997294644,9.547738357621208,17.18713094530728,0,0,5,0
other_five,last,annealed,pitch_mae_cents,5,56.14144127902652,56.55715342339546,28.3759738039026,3,2,0,0
other_five,last,annealed,onset_mae_ms,5,133.25679487701754,98.415345615589,82.89172194724559,3,2,0,0
other_five,last,annealed,joint_event_error,5,0.18015947470442914,0.11175251870495685,0.14001444425479745,3,2,0,0
other_five,last,annealed,log_spectral_distance_db,5,14.19472217307683,3.0746137057552128,14.290802397421045,3,2,0,0
