target_id,variant,state,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,updates,best_update,stopped_by,recovered
C04-T0005,unfaded,best,6.227454194229928,70.01206718231279,0.06684958447736232,11.705343172908995,2307,1982,terminal patience,False
C04-T0005,unfaded,last,6.447482519270693,72.93733865941616,0.06879147249896567,12.010792743308594,2307,1982,terminal patience,False
C04-T0005,annealed,best,5.981105462055047,69.47078502643261,0.06606545423702735,11.699698258770987,3000,1381,maximum updates,False
C04-T0005,annealed,last,3.891181157240767,64.67468820966226,0.0630936756086567,11.399005308339193,3000,1381,maximum updates,False
C04-T0003,unfaded,best,43.190778212157305,101.79532898859253,0.09393029579708226,16.87687915587985,2366,1539,terminal patience,False
C04-T0003,unfaded,last,52.32016780493008,100.76142368902569,0.09170063905770981,17.18713094530728,2366,1539,terminal patience,False
C04-T0003,annealed,best,46.438547839972564,102.55345243961904,0.09567113696987468,16.83096832768014,3000,670,maximum updates,False
C04-T0003,annealed,last,11.418162232485757,82.89172194724559,0.0725490857588262,13.03955720732152,3000,670,maximum updates,False
C04-T0007,unfaded,best,12.133017132698916,2.683138367739563,0.006932128728169508,4.126727076972604,2647,2399,terminal patience,False
C04-T0007,unfaded,last,7.538875755440796,3.6844820834711633,0.0047018376245459145,5.126271540864092,2647,2399,terminal patience,False
C04-T0007,annealed,best,496.66789847274345,171.83179473409467,0.3911672118186391,17.094648789412748,2926,1409,terminal patience,False
C04-T0007,annealed,last,108.11252435201038,295.76405415221075,0.3546672621947433,16.862468959917145,2926,1409,terminal patience,False
C06-T0000,unfaded,best,7.307809606078483,45.61431081991008,0.0491566637856341,7.434068880915713,2298,1924,terminal patience,False
C06-T0000,unfaded,last,11.337387076803774,45.785418040101455,0.049306573900744534,7.5290923998916375,2298,1924,terminal patience,False
C06-T0000,annealed,best,50.71190704017379,153.65244694364756,0.22575066220961235,13.426263915320378,3000,1228,maximum updates,False
C06-T0000,annealed,last,28.3759738039026,154.7853458019837,0.22133633811837022,14.290802397421045,3000,1228,maximum updates,False
C06-T0008,unfaded,best,304.31204148389344,215.2781761965,0.2700256678147646,22.73039327551638,2258,348,terminal patience,False
C06-T0008,unfaded,last,421.5060402140871,259.5161175331016,0.3131715823032639,24.31015333518667,2258,348,terminal patience,False
C06-T0008,annealed,best,15.12763888978347,80.6405251971499,0.11261803864344998,8.60252188841764,3000,2970,maximum updates,False
C06-T0008,annealed,last,6.766923239298691,80.55754338999955,0.11223024319540853,9.644821063983267,3000,2970,maximum updates,False
C08-T0000,unfaded,best,86.43044957004828,43.841512023956,0.06932109864941076,15.444751423295745,3000,2991,maximum updates,False
C08-T0000,unfaded,last,90.51495620742455,53.443873073770774,0.06911094440593986,15.880236183758669,3000,2991,maximum updates,False
C08-T0000,annealed,best,87.63166719892604,98.66906455641947,0.11417996154490602,18.560497549594846,3000,690,maximum updates,False
C08-T0000,annealed,last,115.34659827868462,97.93809638719789,0.1369426207298099,13.969419460572917,3000,690,maximum updates,False
C08-T0004,unfaded,best,180.93254182486433,203.39997018821538,0.19104879451360376,24.637891311825285,3000,213,maximum updates,False
C08-T0004,unfaded,last,358.39876908019164,345.37648577309164,0.35729858881197657,26.207891765223533,3000,213,maximum updates,False
C08-T0004,annealed,best,124.99478631768105,52.562066742114645,0.14037345574300866,17.186648088720236,3000,2991,maximum updates,False
C08-T0004,annealed,last,126.03362276743522,52.2853090936482,0.14001444425479745,17.135961236741164,3000,2991,maximum updates,False
