metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
event-cosine,4,joint,bidirectional_cumulative_energy,0.33845162026145525,0.3162000100597177,8192,32,256
event-cosine,4,joint,log_quadrature_bicul,0.3457657871127977,0.31513480239936464,8192,32,256
event-cosine,4,joint,fading,0.3350159923448569,0.31262231360062914,8192,32,256
event-cosine,6,joint,waveform_l1,0.014476521529624056,0.27327902809455534,8192,32,256
event-cosine,6,joint,waveform_mse,0.019464980841030266,0.27770280759094645,8192,32,256
event-cosine,6,joint,single_stft,0.06307905199106284,0.27365732304994395,8192,32,256
event-cosine,6,joint,linear_mss,0.060529664158538374,0.2718538777731735,8192,32,256
event-cosine,6,joint,smooth_mss,0.056254498216433114,0.27310093658494944,8192,32,256
event-cosine,6,joint,sot_published_composite,-0.000650646914418976,0.2728537957605569,8192,32,256
event-cosine,6,joint,linear_jtfot,0.07336293151417742,0.269364702571381,8192,32,256
event-cosine,6,joint,log_jtfot,0.07186996887343641,0.2691324763879847,8192,32,256
event-cosine,6,joint,bidirectional_cumulative_energy,0.2325060811216591,0.27344647113216947,8192,32,256
event-cosine,6,joint,log_quadrature_bicul,0.23690145463325737,0.27279544048309634,8192,32,256
event-cosine,6,joint,fading,0.2543574231897191,0.267104834520599,8192,32,256
event-cosine,8,joint,waveform_l1,0.009616137075760964,0.24185769767742318,8192,32,256
event-cosine,8,joint,waveform_mse,0.02653820665623072,0.2413577717232096,8192,32,256
event-cosine,8,joint,single_stft,0.049275903711888114,0.2377357893594798,8192,32,256
event-cosine,8,joint,linear_mss,0.05009835987246322,0.24260796084851233,8192,32,256
event-cosine,8,joint,smooth_mss,0.044155809251288,0.2412460896424188,8192,32,256
event-cosine,8,joint,sot_published_composite,0.005875604586295104,0.2396675981953563,8192,32,256
event-cosine,8,joint,linear_jtfot,0.06336170216326399,0.2345628573378375,8192,32,256
event-cosine,8,joint,log_jtfot,0.056356119392819155,0.24180061054311525,8192,32,256
event-cosine,8,joint,bidirectional_cumulative_energy,0.20030167973399232,0.24629992965475217,8192,32,256
event-cosine,8,joint,log_quadrature_bicul,0.2011975690090897,0.24884185460820213,8192,32,256
event-cosine,8,joint,fading,0.21948930090278432,0.2432663379746729,8192,32,256
event-cosine,1,pitch,waveform_l1,0.05595051837070397,0.2108870341748152,512,1,512
event-cosine,1,pitch,waveform_mse,0.046598768378182776,0.16080223945603045,512,1,512
event-cosine,1,pitch,single_stft,0.20742552896889416,0.6964206036520826,512,1,512
event-cosine,1,pitch,linear_mss,0.14550792853313688,0.44414934012069374,512,1,512
event-cosine,1,pitch,smooth_mss,0.2574938719420536,0.3356691474943676,512,1,512
event-cosine,1,pitch,sot_published_composite,0.10451778120717883,0.2005090923412525,512,1,512
event-cosine,1,pitch,linear_jtfot,0.0719960000593606,0.14975362323628136,512,1,512
event-cosine,1,pitch,log_jtfot,0.24882370310465562,0.2713353731788541,512,1,512
event-cosine,1,pitch,bidirectional_cumulative_energy,0.9217583125217691,0.07933970149331465,512,1,512
event-cosine,1,pitch,log_quadrature_bicul,0.9317047350130726,0.07181039664487728,512,1,512
event-cosine,1,pitch,fading,0.7753647045932707,0.20135114974614082,512,1,512
event-cosine,2,pitch,waveform_l1,0.030408523832712617,0.2809158336451316,16384,32,512
event-cosine,2,pitch,waveform_mse,0.031651797420065894,0.28464633795994404,16384,32,512
event-cosine,2,pitch,single_stft,0.23534761567707108,0.42766059411859453,16384,32,512
event-cosine,2,pitch,linear_mss,0.1437128150982455,0.35311860694322467,16384,32,512
event-cosine,2,pitch,smooth_mss,0.18157469877848612,0.3269548537030065,16384,32,512
event-cosine,2,pitch,sot_published_composite,-0.001229182298708483,0.24211829240662297,16384,32,512
event-cosine,2,pitch,linear_jtfot,0.09565097186815424,0.28242813952712587,16384,32,512
event-cosine,2,pitch,log_jtfot,0.14527954097653484,0.3004575638168823,16384,32,512
event-cosine,2,pitch,bidirectional_cumulative_energy,0.48644939420964506,0.34080006859515755,16384,32,512
event-cosine,2,pitch,log_quadrature_bicul,0.5002984823831971,0.3392487632796019,16384,32,512
event-cosine,2,pitch,fading,0.5337029180590778,0.291980127253544,16384,32,512
event-cosine,4,pitch,waveform_l1,0.003727525443752113,0.26568874230557044,8192,32,256
event-cosine,4,pitch,waveform_mse,-0.0008619287024297338,0.2677963061721528,8192,32,256
event-cosine,4,pitch,single_stft,0.1229001511155133,0.3026784202633665,8192,32,256
event-cosine,4,pitch,linear_mss,0.06263354304556423,0.2810563287465318,8192,32,256
event-cosine,4,pitch,smooth_mss,0.09462949338559071,0.28479588775817044,8192,32,256
event-cosine,4,pitch,sot_published_composite,0.018994997644848743,0.22401078189841736,8192,32,256
event-cosine,4,pitch,linear_jtfot,0.06594683168543142,0.25077661348769353,8192,32,256
event-cosine,4,pitch,log_jtfot,0.09130846391454964,0.2581596311568241,8192,32,256
event-cosine,4,pitch,bidirectional_cumulative_energy,0.28055653016435567,0.276944569990262,8192,32,256
event-cosine,4,pitch,log_quadrature_bicul,0.29122827479146174,0.27628170305347693,8192,32,256
event-cosine,4,pitch,fading,0.3302141366812881,0.26908905261104943,8192,32,256
event-cosine,1,time,waveform_l1,0.014488287036949283,0.9406079820154533,1024,1,1024
event-cosine,1,time,waveform_mse,0.010532163845087584,0.9608719636619538,1024,1,1024
event-cosine,1,time,single_stft,0.5346482158957108,0.7746089262940237,1024,1,1024
event-cosine,1,time,linear_mss,0.08071789457442485,0.9282288241137294,1024,1,1024
event-cosine,1,time,smooth_mss,0.07154553853250376,0.9342896372525975,1024,1,1024
event-cosine,1,time,sot_published_composite,-0.008552590710209857,0.998176266910859,1024,1,1024
event-cosine,1,time,linear_jtfot,0.6651881174498211,0.643532304712267,1024,1,1024
event-cosine,1,time,log_jtfot,0.2145791607046247,0.8775235806875051,1024,1,1024
event-cosine,1,time,bidirectional_cumulative_energy,0.9856473758494967,0.013441883878814202,1024,1,1024
event-cosine,1,time,log_quadrature_bicul,0.9842683321232364,0.016696873534089857,1024,1,1024
event-cosine,1,time,fading,0.9887646656135813,0.016826176537716897,1024,1,1024
event-cosine,2,time,waveform_l1,0.014712933128783988,0.6536801784914527,8192,32,256
event-cosine,2,time,waveform_mse,0.026136763099588563,0.6285285563110109,8192,32,256
event-cosine,2,time,single_stft,0.27104408511620437,0.5912567003362377,8192,32,256
event-cosine,2,time,linear_mss,0.10932509509526352,0.627319917595771,8192,32,256
event-cosine,2,time,smooth_mss,0.07398000723740489,0.6478382555281574,8192,32,256
event-cosine,2,time,sot_published_composite,0.002754900002783838,0.6736962834560553,8192,32,256
event-cosine,2,time,linear_jtfot,0.2842714040347204,0.6131993141476102,8192,32,256
event-cosine,2,time,log_jtfot,0.17129609911417235,0.6295871110960404,8192,32,256
event-cosine,2,time,bidirectional_cumulative_energy,0.5496230687269834,0.50668969980513,8192,32,256
event-cosine,2,time,log_quadrature_bicul,0.553830686456209,0.5045683121422463,8192,32,256
event-cosine,2,time,fading,0.539065084115267,0.5212497455591504,8192,32,256
event-cosine,4,time,waveform_l1,0.02884502904874045,0.4463902734807836,8192,32,256
event-cosine,4,time,waveform_mse,0.05350153664322527,0.43884855859690736,8192,32,256
event-cosine,4,time,single_stft,0.15099152259429766,0.4225589040611957,8192,32,256
event-cosine,4,time,linear_mss,0.09451699824681697,0.43750808405307456,8192,32,256
event-cosine,4,time,smooth_mss,0.0740433099995389,0.4400675865365328,8192,32,256
event-cosine,4,time,sot_published_composite,0.006273637174808855,0.4494232271719583,8192,32,256
event-cosine,4,time,linear_jtfot,0.1451848104502287,0.4234309430902459,8192,32,256
event-cosine,4,time,log_jtfot,0.0990680238250648,0.4295389320214796,8192,32,256
event-cosine,4,time,bidirectional_cumulative_energy,0.3226308983532623,0.3974690886891601,8192,32,256
event-cosine,4,time,log_quadrature_bicul,0.32532618488232506,0.39579738445044826,8192,32,256
event-cosine,4,time,fading,0.33865177381754386,0.3986789260086528,8192,32,256
