loss,events,condition,mean_cosine,positive_phrase_percent
waveform_l1,1,joint,0.04146535488981133,54.8828125
waveform_l1,2,joint,0.014319719058502291,51.74560546875
waveform_l1,4,joint,0.005237388738465143,50.5126953125
waveform_l1,6,joint,0.0066013491079976346,51.23291015625
waveform_l1,8,joint,0.004702214009717552,50.87890625
waveform_l1,1,pitch,0.05595051837070397,60.546875
waveform_l1,2,pitch,0.024775829749115144,62.811279296875
waveform_l1,4,pitch,0.004371403602212999,54.28466796875
waveform_l1,1,time,0.014488287036949283,50.5859375
waveform_l1,2,time,0.004529790763105287,50.5615234375
waveform_l1,4,time,0.006355645704957076,50.54931640625
waveform_mse,1,joint,-0.01257216139857644,49.609375
waveform_mse,2,joint,0.01600658061854165,52.520751953125
waveform_mse,4,joint,0.007036752260155455,51.37939453125
waveform_mse,6,joint,0.0015728032468383503,50.439453125
waveform_mse,8,joint,0.0052712767562057335,50.79345703125
waveform_mse,1,pitch,0.046598768378182776,53.3203125
waveform_mse,2,pitch,0.023980859749966985,59.9853515625
waveform_mse,4,pitch,0.0016554228550738227,52.28271484375
waveform_mse,1,time,0.010532163845087584,50.390625
waveform_mse,2,time,-7.852594374328195e-05,50.1953125
waveform_mse,4,time,0.004722803130905721,50.3662109375
single_stft,1,joint,0.12162133500749572,57.421875
single_stft,2,joint,0.07561803182373625,57.62939453125
single_stft,4,joint,0.03508054868329276,54.58984375
single_stft,6,joint,0.014361703507293645,52.6611328125
single_stft,8,joint,0.009050011341102818,51.7578125
single_stft,1,pitch,0.20742552896889416,59.9609375
single_stft,2,pitch,0.1453258032139567,68.267822265625
single_stft,4,pitch,0.03542923684957712,58.72802734375
single_stft,1,time,0.5346482158957108,77.5390625
single_stft,2,time,0.16030093793017156,62.6220703125
single_stft,4,time,0.05320461821021178,55.6396484375
linear_mss,1,joint,0.09960075827752479,57.91015625
linear_mss,2,joint,0.07631439182635744,58.038330078125
linear_mss,4,joint,0.044717990975414595,56.25
linear_mss,6,joint,0.021274534397343996,54.08935546875
linear_mss,8,joint,0.01766702978533314,53.3935546875
linear_mss,1,pitch,0.14550792853313688,65.234375
linear_mss,2,pitch,0.09654824186958018,71.441650390625
linear_mss,4,pitch,0.023033969509727685,60.107421875
linear_mss,1,time,0.08071789457442485,54.1015625
linear_mss,2,time,0.05564634699247313,54.6875
linear_mss,4,time,0.03709674915853997,54.79736328125
smooth_mss,1,joint,0.11892468269271454,58.3984375
smooth_mss,2,joint,0.06795487121647319,57.452392578125
smooth_mss,4,joint,0.036612181458936716,55.4443359375
smooth_mss,6,joint,0.018715732523905876,53.3203125
smooth_mss,8,joint,0.014817644017262403,53.13720703125
smooth_mss,1,pitch,0.2574938719420536,79.6875
smooth_mss,2,pitch,0.12331625878395709,81.024169921875
smooth_mss,4,pitch,0.04421996443184843,65.673828125
smooth_mss,1,time,0.07154553853250376,53.41796875
smooth_mss,2,time,0.032846119416039085,52.5146484375
smooth_mss,4,time,0.030947683563104587,52.96630859375
sot_published_composite,1,joint,0.019781879911625153,50.68359375
sot_published_composite,2,joint,0.0032311008101398348,50.250244140625
sot_published_composite,4,joint,-0.0019101105205111858,49.59716796875
sot_published_composite,6,joint,-0.0046407275422772785,49.2431640625
sot_published_composite,8,joint,0.004777496339748501,50.4638671875
sot_published_composite,1,pitch,0.10451778120717883,77.734375
sot_published_composite,2,pitch,-0.010338990988198769,77.362060546875
sot_published_composite,4,pitch,0.008879270349095005,62.353515625
sot_published_composite,1,time,-0.008552590710209857,49.609375
sot_published_composite,2,time,0.004386628127012947,50.52490234375
sot_published_composite,4,time,0.0002981624582320593,49.9755859375
linear_jtfot,1,joint,0.26180753905228077,65.91796875
linear_jtfot,2,joint,0.16994273014172917,65.91796875
linear_jtfot,4,joint,0.10614401309245355,63.525390625
linear_jtfot,6,joint,0.05259576286643393,58.1298828125
linear_jtfot,8,joint,0.03856921526401858,57.3974609375
linear_jtfot,1,pitch,0.0719960000593606,83.0078125
linear_jtfot,2,pitch,0.06822224302319116,77.24609375
linear_jtfot,4,pitch,0.04286403321101004,65.22216796875
linear_jtfot,1,time,0.6651881174498211,84.08203125
linear_jtfot,2,time,0.3151724693639765,71.32568359375
linear_jtfot,4,time,0.1413455198896687,63.53759765625
log_jtfot,1,joint,0.30771115832609996,68.1640625
log_jtfot,2,joint,0.15312517933474787,63.57421875
log_jtfot,4,joint,0.07973066416620321,59.8876953125
log_jtfot,6,joint,0.033818208838517445,55.33447265625
log_jtfot,8,joint,0.027239203658153285,54.89501953125
log_jtfot,1,pitch,0.24882370310465562,88.8671875
log_jtfot,2,pitch,0.12000164050049075,79.974365234375
log_jtfot,4,pitch,0.056202556159111156,66.3818359375
log_jtfot,1,time,0.2145791607046247,60.25390625
log_jtfot,2,time,0.18263897160971687,63.0126953125
log_jtfot,4,time,0.08793509871215788,58.7646484375
bidirectional_cumulative_energy,1,joint,0.8443148526469668,98.14453125
bidirectional_cumulative_energy,2,joint,0.441631184918828,85.99853515625
bidirectional_cumulative_energy,4,joint,0.2547866844001465,79.13818359375
bidirectional_cumulative_energy,6,joint,0.13957927000997292,69.921875
bidirectional_cumulative_energy,8,joint,0.10388218667619012,66.22314453125
bidirectional_cumulative_energy,1,pitch,0.9217583125217691,100.0
bidirectional_cumulative_energy,2,pitch,0.44716911571104906,94.23828125
bidirectional_cumulative_energy,4,pitch,0.2174966345702236,85.546875
bidirectional_cumulative_energy,1,time,0.9856473758494967,100.0
bidirectional_cumulative_energy,2,time,0.516116691647237,84.38720703125
bidirectional_cumulative_energy,4,time,0.28169077727627945,76.57470703125
log_quadrature_bicul,1,joint,0.8484806403050696,98.14453125
log_quadrature_bicul,2,joint,0.44962244010610064,86.492919921875
log_quadrature_bicul,4,joint,0.2644120817362734,79.9072265625
log_quadrature_bicul,6,joint,0.14617597216417852,70.76416015625
log_quadrature_bicul,8,joint,0.11049865293561316,66.69921875
