events,profile,perturbation,metric,variant,phrases,mean,std,median
1,independent,initialisation,joint_directed,cel_07,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_08,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_09,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_10,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_11,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_12,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_13,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_14,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_15,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_01_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_02_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_03_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_04_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_05_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_06_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_07_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_08_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_09_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_10_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_11_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_12_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_13_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_14_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_15_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_01,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_02,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_03,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_04,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,onset_directed,cel_05,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_06,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,onset_directed,cel_07,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_08,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,onset_directed,cel_09,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_10,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_11,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_12,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,onset_directed,cel_13,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_14,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,onset_directed,cel_15,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_01_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_02_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_03_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_04_lw,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,onset_directed,cel_05_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_06_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_07_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_08_lw,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,onset_directed,cel_09_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_10_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_11_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_12_lw,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,onset_directed,cel_13_lw,30,0.9666666666666667,0.18257418583505533,1.0
1,independent,initialisation,onset_directed,cel_14_lw,30,0.9666666666666667,0.18257418583505533,1.0
1,independent,initialisation,onset_directed,cel_15_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_01,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_02,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_03,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_04,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_05,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_06,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_07,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_08,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_09,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_10,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_11,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_12,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_13,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_14,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_15,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_01_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_02_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_03_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_04_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_05_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_06_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_07_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_08_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_09_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_10_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_11_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_12_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_13_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_14_lw,30,1.0,0.0,1.0
1,independent,initialisation,phrase_directed,cel_15_lw,30,1.0,0.0,1.0
1,independent,initialisation,pitch_directed,cel_01,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_02,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_03,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_04,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_05,30,0.9333333333333333,0.2537081317024624,1.0
1,independent,initialisation,pitch_directed,cel_06,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_07,30,0.9333333333333333,0.2537081317024624,1.0
1,independent,initialisation,pitch_directed,cel_08,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_09,30,0.9,0.3051285766293646,1.0
1,independent,initialisation,pitch_directed,cel_10,30,0.9333333333333333,0.2537081317024624,1.0
1,independent,initialisation,pitch_directed,cel_11,30,0.9,0.3051285766293646,1.0
1,independent,initialisation,pitch_directed,cel_12,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_13,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,pitch_directed,cel_14,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_15,30,0.9333333333333333,0.2537081317024624,1.0
1,independent,initialisation,pitch_directed,cel_01_lw,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_02_lw,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_03_lw,30,0.8,0.4068381021724863,1.0
1,independent,initialisation,pitch_directed,cel_04_lw,30,0.8666666666666667,0.34574590364176044,1.0
1,independent,initialisation,pitch_directed,cel_05_lw,30,1.0,0.0,1.0
1,independent,initialisation,pitch_directed,cel_06_lw,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,pitch_directed,cel_07_lw,30,0.9666666666666667,0.18257418583505533,1.0
1,independent,initialisation,pitch_directed,cel_08_lw,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_09_lw,30,1.0,0.0,1.0
1,independent,initialisation,pitch_directed,cel_10_lw,30,0.9333333333333333,0.2537081317024624,1.0
1,independent,initialisation,pitch_directed,cel_11_lw,30,0.9333333333333333,0.2537081317024625,1.0
1,independent,initialisation,pitch_directed,cel_12_lw,30,0.8333333333333334,0.3790490217894517,1.0
1,independent,initialisation,pitch_directed,cel_13_lw,30,0.9,0.30512857662936466,1.0
1,independent,initialisation,pitch_directed,cel_14_lw,30,0.8666666666666667,0.34574590364176044,1.0
1,independent,initialisation,pitch_directed,cel_15_lw,30,0.9666666666666667,0.18257418583505533,1.0
1,independent,initialisation,zero_gradient,cel_01,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_02,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_03,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_04,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_05,30,0.0,0.0,0.0
