loss,label,cardinality,target_index,target_id,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,initial_loss,reported_loss,terminal_loss,updates,stopped_by,lr_reductions,target_f0_hz,target_onset_seconds,reported_f0_hz,reported_onset_seconds
single_stft,SS,1,25,C01-T0025,1.0564003005697487e-07,7.488676345701606e-09,1.177106535876455e-07,0.0774219447601616,2.288678250490089e-11,3.9067910464281574e-10,7346,patience,22,[289.80290587168525],[1.5425341353022952],[289.8029058893691],[1.542534135309784]
single_stft,SS,1,26,C01-T0026,643.4978675457046,0.006495916527793355,9.64817682673258,0.08586455992833056,0.03293987574844637,0.03294028720331045,3839,patience,6,[220.59146674672365],[1.4051852301969128],[319.90093440324125],[1.405178734280385]
single_stft,SS,1,27,C01-T0027,1.8043433414050014e-08,4.118261287544556e-08,1.5954625983128214e-06,0.08506121361227434,6.117562755214017e-11,3.7869061750547265e-10,7489,patience,22,[175.5481086953665],[1.3744931085499539],[175.54810869719608],[1.3744931085911365]
single_stft,SS,1,28,C01-T0028,4.202811432207909e-07,4.0520475863559113e-08,6.075015715709328e-07,0.07745393884264083,1.237824997654279e-10,5.13678064867775e-10,6661,patience,22,[247.71572011407758],[1.0850399588518511],[247.71572005394117],[1.0850399588923716]
single_stft,SS,1,29,C01-T0029,0.0011082400874329323,0.0020847599462303634,0.028660643279813963,0.10713484164847141,3.172258904275341e-06,3.637318670470699e-05,2062,patience,7,[133.9242830288529],[1.2087974191265995],[133.9243687597838],[1.2087995038865458]
single_stft,SS,1,30,C01-T0030,593.9620848804418,0.11108807790896624,10.891936922617177,0.08809506721984466,0.033209441549865285,0.033209441549865285,3798,patience,5,[227.00837744311855],[0.2077085604612535],[319.92061138144516],[0.20781964853916246]
single_stft,SS,1,31,C01-T0031,814.9508149898819,0.2137579348329144,9.448951106074945,0.08848754938856046,0.036654722234266766,0.03665559374523389,3695,patience,6,[199.53492652677508],[1.656186239750096],[319.4891586713839],[1.6563999976849288]
single_stft,SS,1,32,C01-T0032,2197.2941741367013,1.963705027049345,12.278315929719668,0.11562146083733768,0.0625568484748283,0.0625568484748283,2336,patience,5,[89.57254047870813],[1.7402038465840286],[318.7017427949565],[1.742167551611078]
single_stft,SS,1,33,C01-T0033,4.541801601476436e-07,1.1411338540767701e-07,9.015661448304347e-07,0.062069301417695386,2.0354779203215804e-10,1.4147761403909104e-09,6340,patience,22,[260.7512474919337],[0.9925868401361315],[260.751247423527],[0.9925868400220181]
single_stft,SS,1,34,C01-T0034,1203.669572692373,1.226797075077224,11.90462712728915,0.15500639800649793,0.09561631289690416,0.09563284377049615,1057,patience,4,[83.3755320039875],[1.330150346688164],[167.10488913948555],[1.3313771437632411]
single_stft,SS,1,35,C01-T0035,1441.2863010191686,0.5134997047842038,11.43371282146955,0.10058252602670537,0.04819640352725746,0.04821001050847316,1508,patience,4,[136.71998966306307],[1.6675368436792348],[314.33351643610234],[1.668050343384019]
single_stft,SS,1,36,C01-T0036,682.2306495891746,0.00698217868544404,10.533559807570999,0.08688877776551542,0.03428915686337781,0.034291053812020265,2625,patience,5,[215.18627276674422],[1.38290828378688],[319.1227784120451],[1.3829013016081946]
single_stft,SS,1,37,C01-T0037,691.2016404480798,0.0048387239948155525,10.284878755031679,0.08812786360747552,0.03491405322138406,0.03491622921055044,1309,patience,4,[208.4048623291182],[1.5682198868703543],[310.67158731323536],[1.5682150481463595]
single_stft,SS,1,38,C01-T0038,505.894743600975,0.0021813246577906398,9.127981196943328,0.08291095202759671,0.031095282325131996,0.031103632863080398,4357,patience,7,[238.79308394184048],[1.485936495740724],[319.8377007697544],[1.4859386770653817]
single_stft,SS,1,39,C01-T0039,1197.9534221767353,0.7107314247360996,7.774407189159146,0.09010819801264251,0.026862595727309653,0.026862622764241104,1840,patience,4,[152.7272494852605],[1.7771927304500648],[305.09361937304686],[1.7779034618748009]
single_stft,SS,1,40,C01-T0040,1192.2571287667035,1.4776513378145228,14.598341910317163,0.15441106189536954,0.10045754836427609,0.10046397704127892,1071,patience,4,[94.8445886699438],[1.0472558111338324],[188.84269483800227],[1.048733462471647]
single_stft,SS,1,41,C01-T0041,2.9622917452343245e-07,1.0560663454839414e-08,5.603470569627146e-07,0.08447215360097758,7.233975340257133e-11,1.0859870477638242e-10,6825,patience,22,[244.0606997742918],[0.40000841294225664],[244.0606998160527],[0.4000084129528173]
single_stft,SS,1,42,C01-T0042,1.3343989913039422e-06,1.5891132854051193e-07,9.071888932513126e-07,0.07870409979908691,3.8027658688865987e-10,5.464046449551058e-10,6675,patience,21,[264.82336765550536],[1.3038861218528288],[264.823367451385],[1.3038861220117401]
single_stft,SS,1,43,C01-T0043,3.1161473401652984e-08,1.5356604876615165e-09,3.1402869779000824e-08,0.08981139621096366,9.978458149520997e-12,4.816333743172812e-10,6856,patience,22,[186.847579896034],[1.4604561980811006],[186.84757989267084],[1.460456198079565]
single_stft,SS,1,44,C01-T0044,2358.720983351908,1.6781917879726826,14.028361799076979,0.12311450010786132,0.0709756206476357,0.07097565315837981,2811,patience,7,[81.69474970460101],[1.7105054600219154],[319.0795366232514],[1.712183651809888]
single_stft,SS,1,45,C01-T0045,691.730075944412,0.012980400786344326,12.347454399101101,0.09197210206992475,0.03699247953417132,0.03699572959375567,1567,patience,4,[209.1655686018004],[0.3420365491017545],[311.9007700422123],[0.34204952950254086]
