loss,label,cardinality,metric,n,mean,sample_std,q1,median,q3
single_stft,SS,1,pitch_mae_cents,150,551.1369573317567,653.7444589412929,9.23196852298247e-08,0.000872273672225532,1193.8125141791147
single_stft,SS,1,onset_mae_ms,150,18.693385661094386,105.811825334031,2.416859767873092e-08,0.0006163571544259838,0.7312376464698178
single_stft,SS,1,log_spectral_distance_db,150,6.738951546894836,7.492876657694641,4.37280429002707e-07,0.009771770349609023,13.045786903118245
single_stft,SS,2,pitch_mae_cents,150,456.9192388354599,420.4433173674192,0.03507451990322763,503.2705000919145,650.4489206661035
single_stft,SS,2,onset_mae_ms,150,112.16424141460972,209.28014454663406,0.009982640972960866,0.47230482649357475,156.29917183065407
single_stft,SS,2,log_spectral_distance_db,150,10.250517915732171,8.153836810440842,0.20142176804791373,12.108039194516119,16.992869854031568
single_stft,SS,4,pitch_mae_cents,150,452.79441751471427,275.5404978725453,277.9638651743151,433.9047256156231,611.8422245807312
single_stft,SS,4,onset_mae_ms,150,172.8475864152637,129.9053319055583,66.79668478825755,169.13825679696095,246.05787211928245
single_stft,SS,4,log_spectral_distance_db,150,15.201758384877634,5.588136289490916,11.841821607360037,15.69304175971857,19.087422703945787
single_stft,SS,6,pitch_mae_cents,150,437.01000787696745,207.362998008312,281.42008710761104,399.96636785129584,592.9154164217412
single_stft,SS,6,onset_mae_ms,150,173.94126959160022,97.77299954133123,110.37122967523328,166.80662858627022,228.8560110121867
single_stft,SS,6,log_spectral_distance_db,150,16.56716523281536,4.591998858236944,14.499499234469713,17.023196861202457,19.470647073960027
single_stft,SS,8,pitch_mae_cents,150,410.9860922217904,178.77183529027238,271.3772575575207,393.35033024536267,521.46205389449
single_stft,SS,8,onset_mae_ms,150,178.27348470404712,77.34317469869617,115.6282829088471,176.5902512430262,224.86974231245125
single_stft,SS,8,log_spectral_distance_db,150,17.485261321355956,4.321629896268385,14.595112356209214,17.41980242266815,20.76132152110243
linear_mss,LinMSS,1,pitch_mae_cents,150,538.3434597443654,644.6844273869841,0.00016622813752142918,1.7017939911173396,1194.7396995844983
linear_mss,LinMSS,1,onset_mae_ms,150,61.7287744521768,248.36727209686504,2.2210948746881343e-05,0.16612921045033868,0.5198965709929393
linear_mss,LinMSS,1,log_spectral_distance_db,150,7.423647831738311,8.006694388396884,0.0004984325282850216,1.8244337835362312,13.928289705165575
linear_mss,LinMSS,2,pitch_mae_cents,150,404.69243391337136,405.0337093047974,0.7181802315789354,350.0087851121841,644.360001318687
linear_mss,LinMSS,2,onset_mae_ms,150,122.20362256759167,192.00075218368335,0.1578646727798741,0.6707432757796228,212.8158882174916
linear_mss,LinMSS,2,log_spectral_distance_db,150,10.07145352852836,8.033094400122149,1.166909005755191,11.705660686530923,16.99925287568201
linear_mss,LinMSS,4,pitch_mae_cents,150,379.40862376920376,255.31243704818962,181.36137788180866,314.96088561708507,550.5001174487768
linear_mss,LinMSS,4,onset_mae_ms,150,147.46735215292472,125.63287412486663,5.884424413837151,147.19391642887004,231.1965804448638
linear_mss,LinMSS,4,log_spectral_distance_db,150,14.348375248319831,5.759280335728927,10.09826903322821,15.053568411555396,18.897330218895398
linear_mss,LinMSS,6,pitch_mae_cents,150,387.3050109001139,195.75521229313702,260.8947844910081,345.7290274209926,516.8538707218574
linear_mss,LinMSS,6,onset_mae_ms,150,152.1230404054566,93.01521099238225,75.57609878864363,141.98458764120167,212.6700340918552
linear_mss,LinMSS,6,log_spectral_distance_db,150,15.945934122018704,4.5640522982633875,13.4642408116184,16.578875292023056,18.82173907138579
