loss,condition,mean,sample_sd,positive_percent,median,eligible
waveform_l1,persistent_target,0.018896984490645613,0.4625533226651844,52.28271484375,0.026540905048168008,8192
waveform_l1,all_controls,-0.0036693318954673405,0.3638629515399401,51.25732421875,0.011765157425908775,8192
waveform_l1,timbre_only,-0.11472308041253067,0.42795444707844793,39.05029296875,-0.13709299057035387,8192
waveform_mse,persistent_target,0.004678862145813996,0.43653164610336476,50.84228515625,0.007937139236326812,8192
waveform_mse,all_controls,-0.005825140358006317,0.3392003069302062,49.69482421875,-0.002140613523679743,8192
waveform_mse,timbre_only,-0.08818998745984402,0.4373019769780655,42.19970703125,-0.09628139224623289,8192
single_stft,persistent_target,0.06362999895857521,0.4651622176527102,55.82275390625,0.07406359717697666,8192
single_stft,all_controls,-0.018468467823258665,0.35402325210883817,49.1943359375,-0.007765093653054849,8192
single_stft,timbre_only,-0.04125753464720694,0.44133590327192274,46.47216796875,-0.04560841566598149,8192
mss,persistent_target,0.00580344082061293,0.5049436520306568,50.29296875,0.003991082795440442,8192
mss,all_controls,0.013394479736515563,0.3796614129787682,52.13623046875,0.021554135688036345,8192
mss,timbre_only,0.1825298378108453,0.4196534484231096,68.0419921875,0.22176779931071383,8192
smooth_mss,persistent_target,0.07668452388037167,0.47089829784125187,57.6416015625,0.1014814276202686,8192
smooth_mss,all_controls,0.08216075004941775,0.3638067153067076,62.63427734375,0.11689121692354938,8192
smooth_mss,timbre_only,0.11510524932704176,0.42357777121072454,60.55908203125,0.1270744796654389,8192
sot_published_composite,persistent_target,0.0014002192425693887,0.4729183374560135,49.54833984375,-0.005068814617169987,8192
sot_published_composite,all_controls,0.005557043866090573,0.37746491138808785,50.72021484375,0.007010878243766819,8192
sot_published_composite,timbre_only,-0.022223386287039397,0.4199682291369903,47.49755859375,-0.03164958402945886,8192
sot_no_cut,persistent_target,-0.0010002662216681822,0.47684665744325727,49.59716796875,-0.005175129764259023,8192
sot_no_cut,all_controls,0.006283288208067322,0.3785457282602741,50.59814453125,0.006654137644390441,8192
sot_no_cut,timbre_only,0.1663177227694847,0.4371591839682141,65.58837890625,0.20676869799373757,8192
linear_jtfot,persistent_target,0.04231735669623532,0.47863586642917705,54.150390625,0.05745066050996857,8192
linear_jtfot,all_controls,0.04625925455621824,0.3793380651921984,55.029296875,0.05266670819461753,8192
linear_jtfot,timbre_only,0.21379065870252237,0.43966729397281906,68.8720703125,0.2678705099877605,8192
log_jtfot,persistent_target,0.14781221110437692,0.47305627483646745,62.75634765625,0.18521361130705907,8192
log_jtfot,all_controls,0.11059467535586512,0.3759514626230377,62.20703125,0.12691309770450698,8192
log_jtfot,timbre_only,0.22613719037899896,0.41744064716693413,71.38671875,0.2720390517776644,8192
cel,persistent_target,0.5001875782907121,0.37025350073208957,90.0146484375,0.5875046699590825,8192
cel,all_controls,0.3419117979075403,0.26796584999591105,88.6474609375,0.34690017973811776,8192
cel,timbre_only,0.3146311279470318,0.3326392922011066,80.77392578125,0.3358763243915287,8192
log_cel,persistent_target,0.5234576138053879,0.3639493422403655,90.91796875,0.6093975081459998,8192
log_cel,all_controls,0.3414928254122436,0.2703699661959625,88.6962890625,0.34704588980986945,8192
log_cel,timbre_only,0.300647552155306,0.33859827700542594,79.3701171875,0.3211430481320468,8192
dec_cel,persistent_target,0.4679253725574336,0.37083199738511646,89.56298828125,0.5421601849173328,8192
dec_cel,all_controls,0.30651267520572234,0.289704362840078,85.43701171875,0.3181235850703779,8192
dec_cel,timbre_only,0.263880638097475,0.36756760047960385,75.341796875,0.28967834185617225,8192
tlog_cel,persistent_target,0.4938948379585389,0.3187313136080146,92.7734375,0.5436749224086725,8192
tlog_cel,all_controls,0.3240273557622313,0.2756948435367728,87.0849609375,0.32389285629234477,8192
tlog_cel,timbre_only,0.2551023783780839,0.37148839357718944,75.87890625,0.28373319210007414,8192
