events,condition,target,candidates,loss,metric,mean,eligible
1,joint,C01-T000,1024,log_quadrature_bicul,zero_gradient,0.0,1024
1,joint,C01-T000,1024,fading,zero_gradient,0.0,1024
1,joint,C01-T000,1024,waveform_l1,original_coordinate_drift,,0
1,joint,C01-T000,1024,waveform_mse,original_coordinate_drift,,0
1,joint,C01-T000,1024,single_stft,original_coordinate_drift,,0
1,joint,C01-T000,1024,linear_mss,original_coordinate_drift,,0
1,joint,C01-T000,1024,smooth_mss,original_coordinate_drift,,0
1,joint,C01-T000,1024,sot_published_composite,original_coordinate_drift,,0
1,joint,C01-T000,1024,linear_jtfot,original_coordinate_drift,,0
1,joint,C01-T000,1024,log_jtfot,original_coordinate_drift,,0
1,joint,C01-T000,1024,bidirectional_cumulative_energy,original_coordinate_drift,,0
1,joint,C01-T000,1024,log_quadrature_bicul,original_coordinate_drift,,0
1,joint,C01-T000,1024,fading,original_coordinate_drift,,0
2,pitch,C02-T000,512,waveform_l1,both_directed,0.5517578125,512
2,pitch,C02-T000,512,waveform_mse,both_directed,0.51171875,512
2,pitch,C02-T000,512,single_stft,both_directed,0.5166015625,512
2,pitch,C02-T000,512,linear_mss,both_directed,0.5458984375,512
2,pitch,C02-T000,512,smooth_mss,both_directed,0.6513671875,512
2,pitch,C02-T000,512,sot_published_composite,both_directed,0.5849609375,512
2,pitch,C02-T000,512,linear_jtfot,both_directed,0.6337890625,512
2,pitch,C02-T000,512,log_jtfot,both_directed,0.6728515625,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,both_directed,0.66796875,512
2,pitch,C02-T000,512,log_quadrature_bicul,both_directed,0.6962890625,512
2,pitch,C02-T000,512,fading,both_directed,0.7529296875,512
2,pitch,C02-T000,512,waveform_l1,pitch_directed,0.62890625,512
2,pitch,C02-T000,512,waveform_mse,pitch_directed,0.603515625,512
2,pitch,C02-T000,512,single_stft,pitch_directed,0.6455078125,512
2,pitch,C02-T000,512,linear_mss,pitch_directed,0.681640625,512
2,pitch,C02-T000,512,smooth_mss,pitch_directed,0.7373046875,512
2,pitch,C02-T000,512,sot_published_composite,pitch_directed,0.787109375,512
2,pitch,C02-T000,512,linear_jtfot,pitch_directed,0.712890625,512
2,pitch,C02-T000,512,log_jtfot,pitch_directed,0.76171875,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,pitch_directed,0.8125,512
2,pitch,C02-T000,512,log_quadrature_bicul,pitch_directed,0.8408203125,512
2,pitch,C02-T000,512,fading,pitch_directed,0.884765625,512
2,pitch,C02-T000,512,waveform_l1,time_directed,0.7176724137931034,232
2,pitch,C02-T000,512,waveform_mse,time_directed,0.6767241379310345,232
2,pitch,C02-T000,512,single_stft,time_directed,0.5,232
2,pitch,C02-T000,512,linear_mss,time_directed,0.5926724137931034,232
2,pitch,C02-T000,512,smooth_mss,time_directed,0.7068965517241379,232
2,pitch,C02-T000,512,sot_published_composite,time_directed,0.24568965517241378,232
2,pitch,C02-T000,512,linear_jtfot,time_directed,0.7607758620689655,232
2,pitch,C02-T000,512,log_jtfot,time_directed,0.7176724137931034,232
2,pitch,C02-T000,512,bidirectional_cumulative_energy,time_directed,0.6012931034482759,232
2,pitch,C02-T000,512,log_quadrature_bicul,time_directed,0.603448275862069,232
2,pitch,C02-T000,512,fading,time_directed,0.6422413793103449,232
2,pitch,C02-T000,512,waveform_l1,dot_directed,0.6796875,512
2,pitch,C02-T000,512,waveform_mse,dot_directed,0.63671875,512
2,pitch,C02-T000,512,single_stft,dot_directed,0.64453125,512
2,pitch,C02-T000,512,linear_mss,dot_directed,0.7060546875,512
2,pitch,C02-T000,512,smooth_mss,dot_directed,0.796875,512
2,pitch,C02-T000,512,sot_published_composite,dot_directed,0.59375,512
2,pitch,C02-T000,512,linear_jtfot,dot_directed,0.7685546875,512
2,pitch,C02-T000,512,log_jtfot,dot_directed,0.8115234375,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,dot_directed,0.8408203125,512
2,pitch,C02-T000,512,log_quadrature_bicul,dot_directed,0.8681640625,512
2,pitch,C02-T000,512,fading,dot_directed,0.908203125,512
2,pitch,C02-T000,512,waveform_l1,cosine,0.15205635710726692,512
2,pitch,C02-T000,512,waveform_mse,cosine,0.12042052435711531,512
2,pitch,C02-T000,512,single_stft,cosine,0.13100126409590646,512
2,pitch,C02-T000,512,linear_mss,cosine,0.178024019266527,512
2,pitch,C02-T000,512,smooth_mss,cosine,0.22414785034774148,512
2,pitch,C02-T000,512,sot_published_composite,cosine,-0.12160224023529206,512
2,pitch,C02-T000,512,linear_jtfot,cosine,0.20815298247059047,512
2,pitch,C02-T000,512,log_jtfot,cosine,0.25579385004207567,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,cosine,0.39289548819258263,512
2,pitch,C02-T000,512,log_quadrature_bicul,cosine,0.40452512073953506,512
2,pitch,C02-T000,512,fading,cosine,0.47078612009128806,512
2,pitch,C02-T000,512,waveform_l1,phrase_success,0.28515625,512
2,pitch,C02-T000,512,waveform_mse,phrase_success,0.248046875,512
2,pitch,C02-T000,512,single_stft,phrase_success,0.310546875,512
2,pitch,C02-T000,512,linear_mss,phrase_success,0.361328125,512
2,pitch,C02-T000,512,smooth_mss,phrase_success,0.43359375,512
2,pitch,C02-T000,512,sot_published_composite,phrase_success,0.517578125,512
2,pitch,C02-T000,512,linear_jtfot,phrase_success,0.40234375,512
2,pitch,C02-T000,512,log_jtfot,phrase_success,0.4609375,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,phrase_success,0.453125,512
2,pitch,C02-T000,512,log_quadrature_bicul,phrase_success,0.509765625,512
2,pitch,C02-T000,512,fading,phrase_success,0.583984375,512
2,pitch,C02-T000,512,waveform_l1,zero_gradient,0.0,512
2,pitch,C02-T000,512,waveform_mse,zero_gradient,0.0,512
2,pitch,C02-T000,512,single_stft,zero_gradient,0.0,512
2,pitch,C02-T000,512,linear_mss,zero_gradient,0.0,512
2,pitch,C02-T000,512,smooth_mss,zero_gradient,0.0,512
2,pitch,C02-T000,512,sot_published_composite,zero_gradient,0.0,512
2,pitch,C02-T000,512,linear_jtfot,zero_gradient,0.0,512
2,pitch,C02-T000,512,log_jtfot,zero_gradient,0.0,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,zero_gradient,0.0,512
2,pitch,C02-T000,512,log_quadrature_bicul,zero_gradient,0.0,512
2,pitch,C02-T000,512,fading,zero_gradient,0.0,512
2,pitch,C02-T000,512,waveform_l1,original_coordinate_drift,0.9947230851313822,512
2,pitch,C02-T000,512,waveform_mse,original_coordinate_drift,0.9990476953469012,512
2,pitch,C02-T000,512,single_stft,original_coordinate_drift,0.9050399335161116,512
2,pitch,C02-T000,512,linear_mss,original_coordinate_drift,0.9476003257895541,512
2,pitch,C02-T000,512,smooth_mss,original_coordinate_drift,0.9560723365583795,512
2,pitch,C02-T000,512,sot_published_composite,original_coordinate_drift,0.9999374644038999,512
2,pitch,C02-T000,512,linear_jtfot,original_coordinate_drift,0.9824613769874412,512
2,pitch,C02-T000,512,log_jtfot,original_coordinate_drift,0.9608634326288878,512
2,pitch,C02-T000,512,bidirectional_cumulative_energy,original_coordinate_drift,0.8326586762262953,512
2,pitch,C02-T000,512,log_quadrature_bicul,original_coordinate_drift,0.8302408098518624,512
2,pitch,C02-T000,512,fading,original_coordinate_drift,0.8017435666975197,512
2,pitch,C02-T001,512,waveform_l1,both_directed,0.5087890625,512
2,pitch,C02-T001,512,waveform_mse,both_directed,0.5,512
2,pitch,C02-T001,512,single_stft,both_directed,0.5380859375,512
2,pitch,C02-T001,512,linear_mss,both_directed,0.5185546875,512
2,pitch,C02-T001,512,smooth_mss,both_directed,0.546875,512
2,pitch,C02-T001,512,sot_published_composite,both_directed,0.5224609375,512
2,pitch,C02-T001,512,linear_jtfot,both_directed,0.48828125,512
2,pitch,C02-T001,512,log_jtfot,both_directed,0.4326171875,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,both_directed,0.658203125,512
2,pitch,C02-T001,512,log_quadrature_bicul,both_directed,0.6689453125,512
2,pitch,C02-T001,512,fading,both_directed,0.71484375,512
2,pitch,C02-T001,512,waveform_l1,pitch_directed,0.6787109375,512
2,pitch,C02-T001,512,waveform_mse,pitch_directed,0.75390625,512
2,pitch,C02-T001,512,single_stft,pitch_directed,0.7060546875,512
2,pitch,C02-T001,512,linear_mss,pitch_directed,0.7060546875,512
2,pitch,C02-T001,512,smooth_mss,pitch_directed,0.7109375,512
2,pitch,C02-T001,512,sot_published_composite,pitch_directed,0.7265625,512
2,pitch,C02-T001,512,linear_jtfot,pitch_directed,0.568359375,512
2,pitch,C02-T001,512,log_jtfot,pitch_directed,0.5546875,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,pitch_directed,0.705078125,512
2,pitch,C02-T001,512,log_quadrature_bicul,pitch_directed,0.712890625,512
2,pitch,C02-T001,512,fading,pitch_directed,0.7431640625,512
2,pitch,C02-T001,512,waveform_l1,time_directed,0.30837004405286345,227
2,pitch,C02-T001,512,waveform_mse,time_directed,0.20704845814977973,227
2,pitch,C02-T001,512,single_stft,time_directed,0.30616740088105726,227
2,pitch,C02-T001,512,linear_mss,time_directed,0.12334801762114538,227
2,pitch,C02-T001,512,smooth_mss,time_directed,0.1828193832599119,227
2,pitch,C02-T001,512,sot_published_composite,time_directed,0.0,227
2,pitch,C02-T001,512,linear_jtfot,time_directed,0.4008810572687225,227
2,pitch,C02-T001,512,log_jtfot,time_directed,0.41629955947136565,227
2,pitch,C02-T001,512,bidirectional_cumulative_energy,time_directed,0.5925110132158591,227
2,pitch,C02-T001,512,log_quadrature_bicul,time_directed,0.5903083700440529,227
2,pitch,C02-T001,512,fading,time_directed,0.552863436123348,227
2,pitch,C02-T001,512,waveform_l1,dot_directed,0.55078125,512
2,pitch,C02-T001,512,waveform_mse,dot_directed,0.5302734375,512
2,pitch,C02-T001,512,single_stft,dot_directed,0.6083984375,512
2,pitch,C02-T001,512,linear_mss,dot_directed,0.5390625,512
2,pitch,C02-T001,512,smooth_mss,dot_directed,0.587890625,512
2,pitch,C02-T001,512,sot_published_composite,dot_directed,0.5224609375,512
2,pitch,C02-T001,512,linear_jtfot,dot_directed,0.5830078125,512
2,pitch,C02-T001,512,log_jtfot,dot_directed,0.5546875,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,dot_directed,0.7392578125,512
2,pitch,C02-T001,512,log_quadrature_bicul,dot_directed,0.7412109375,512
2,pitch,C02-T001,512,fading,dot_directed,0.7724609375,512
2,pitch,C02-T001,512,waveform_l1,cosine,-0.11921651215445274,512
2,pitch,C02-T001,512,waveform_mse,cosine,-0.17354432353744204,512
2,pitch,C02-T001,512,single_stft,cosine,0.14542001059675502,512
2,pitch,C02-T001,512,linear_mss,cosine,-0.0843079063389834,512
2,pitch,C02-T001,512,smooth_mss,cosine,-0.07888307467009573,512
2,pitch,C02-T001,512,sot_published_composite,cosine,-0.3223756357025416,512
2,pitch,C02-T001,512,linear_jtfot,cosine,0.016351393574230932,512
2,pitch,C02-T001,512,log_jtfot,cosine,0.07299392780153438,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,cosine,0.3081106070119566,512
2,pitch,C02-T001,512,log_quadrature_bicul,cosine,0.3187926927298733,512
2,pitch,C02-T001,512,fading,cosine,0.34528418825967705,512
2,pitch,C02-T001,512,waveform_l1,phrase_success,0.302734375,512
2,pitch,C02-T001,512,waveform_mse,phrase_success,0.330078125,512
2,pitch,C02-T001,512,single_stft,phrase_success,0.400390625,512
2,pitch,C02-T001,512,linear_mss,phrase_success,0.4140625,512
2,pitch,C02-T001,512,smooth_mss,phrase_success,0.455078125,512
2,pitch,C02-T001,512,sot_published_composite,phrase_success,0.48828125,512
2,pitch,C02-T001,512,linear_jtfot,phrase_success,0.275390625,512
2,pitch,C02-T001,512,log_jtfot,phrase_success,0.193359375,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,phrase_success,0.3828125,512
2,pitch,C02-T001,512,log_quadrature_bicul,phrase_success,0.396484375,512
2,pitch,C02-T001,512,fading,phrase_success,0.5234375,512
2,pitch,C02-T001,512,waveform_l1,zero_gradient,0.0,512
2,pitch,C02-T001,512,waveform_mse,zero_gradient,0.0,512
2,pitch,C02-T001,512,single_stft,zero_gradient,0.0,512
2,pitch,C02-T001,512,linear_mss,zero_gradient,0.0,512
2,pitch,C02-T001,512,smooth_mss,zero_gradient,0.0,512
2,pitch,C02-T001,512,sot_published_composite,zero_gradient,0.0,512
2,pitch,C02-T001,512,linear_jtfot,zero_gradient,0.0,512
2,pitch,C02-T001,512,log_jtfot,zero_gradient,0.0,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,zero_gradient,0.0,512
2,pitch,C02-T001,512,log_quadrature_bicul,zero_gradient,0.0,512
2,pitch,C02-T001,512,fading,zero_gradient,0.0,512
2,pitch,C02-T001,512,waveform_l1,original_coordinate_drift,0.9960801144932391,512
2,pitch,C02-T001,512,waveform_mse,original_coordinate_drift,0.9992141429119216,512
2,pitch,C02-T001,512,single_stft,original_coordinate_drift,0.7267331919666133,512
2,pitch,C02-T001,512,linear_mss,original_coordinate_drift,0.9369245287692844,512
2,pitch,C02-T001,512,smooth_mss,original_coordinate_drift,0.9612350389916172,512
2,pitch,C02-T001,512,sot_published_composite,original_coordinate_drift,0.9999977383543043,512
2,pitch,C02-T001,512,linear_jtfot,original_coordinate_drift,0.9781684346070815,512
2,pitch,C02-T001,512,log_jtfot,original_coordinate_drift,0.9567254811139426,512
2,pitch,C02-T001,512,bidirectional_cumulative_energy,original_coordinate_drift,0.8474501422018883,512
2,pitch,C02-T001,512,log_quadrature_bicul,original_coordinate_drift,0.8353367330246647,512
2,pitch,C02-T001,512,fading,original_coordinate_drift,0.8349692861742303,512
2,pitch,C02-T002,512,waveform_l1,both_directed,0.439453125,512
2,pitch,C02-T002,512,waveform_mse,both_directed,0.244140625,512
2,pitch,C02-T002,512,single_stft,both_directed,0.525390625,512
2,pitch,C02-T002,512,linear_mss,both_directed,0.6044921875,512
2,pitch,C02-T002,512,smooth_mss,both_directed,0.7216796875,512
2,pitch,C02-T002,512,sot_published_composite,both_directed,0.646484375,512
2,pitch,C02-T002,512,linear_jtfot,both_directed,0.80078125,512
2,pitch,C02-T002,512,log_jtfot,both_directed,0.798828125,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,both_directed,0.958984375,512
2,pitch,C02-T002,512,log_quadrature_bicul,both_directed,0.9521484375,512
2,pitch,C02-T002,512,fading,both_directed,0.9609375,512
2,pitch,C02-T002,512,waveform_l1,pitch_directed,0.4541015625,512
2,pitch,C02-T002,512,waveform_mse,pitch_directed,0.2529296875,512
2,pitch,C02-T002,512,single_stft,pitch_directed,0.5341796875,512
2,pitch,C02-T002,512,linear_mss,pitch_directed,0.6357421875,512
2,pitch,C02-T002,512,smooth_mss,pitch_directed,0.759765625,512
2,pitch,C02-T002,512,sot_published_composite,pitch_directed,0.646484375,512
2,pitch,C02-T002,512,linear_jtfot,pitch_directed,0.814453125,512
2,pitch,C02-T002,512,log_jtfot,pitch_directed,0.8173828125,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,pitch_directed,0.9697265625,512
2,pitch,C02-T002,512,log_quadrature_bicul,pitch_directed,0.9658203125,512
2,pitch,C02-T002,512,fading,pitch_directed,0.9619140625,512
2,pitch,C02-T002,512,waveform_l1,time_directed,0.7133333333333334,75
2,pitch,C02-T002,512,waveform_mse,time_directed,0.6866666666666666,75
2,pitch,C02-T002,512,single_stft,time_directed,0.92,75
2,pitch,C02-T002,512,linear_mss,time_directed,0.7666666666666667,75
2,pitch,C02-T002,512,smooth_mss,time_directed,0.6933333333333334,75
2,pitch,C02-T002,512,sot_published_composite,time_directed,1.0,75
2,pitch,C02-T002,512,linear_jtfot,time_directed,0.88,75
2,pitch,C02-T002,512,log_jtfot,time_directed,0.86,75
2,pitch,C02-T002,512,bidirectional_cumulative_energy,time_directed,0.9266666666666666,75
2,pitch,C02-T002,512,log_quadrature_bicul,time_directed,0.9066666666666666,75
2,pitch,C02-T002,512,fading,time_directed,0.9933333333333333,75
2,pitch,C02-T002,512,waveform_l1,dot_directed,0.5,512
2,pitch,C02-T002,512,waveform_mse,dot_directed,0.322265625,512
2,pitch,C02-T002,512,single_stft,dot_directed,0.5966796875,512
2,pitch,C02-T002,512,linear_mss,dot_directed,0.666015625,512
2,pitch,C02-T002,512,smooth_mss,dot_directed,0.765625,512
2,pitch,C02-T002,512,sot_published_composite,dot_directed,0.7216796875,512
2,pitch,C02-T002,512,linear_jtfot,dot_directed,0.8388671875,512
2,pitch,C02-T002,512,log_jtfot,dot_directed,0.8427734375,512
