events,condition,target,candidates,ties,reassigned_candidates,both_displaced_events,wall_seconds,peak_rss_kib
2,joint,C02-T005,512,0,254,1024,6.182122538797557,1491240
2,joint,C02-T006,512,0,256,1024,6.219616001471877,1491240
2,joint,C02-T007,512,0,254,1024,6.219451937824488,1491240
2,joint,C02-T008,512,0,260,1024,6.247600726783276,1491240
2,joint,C02-T009,512,0,255,1024,6.268228349275887,1491240
2,joint,C02-T010,512,0,254,1024,6.219827744178474,1491240
2,joint,C02-T011,512,0,255,1024,6.184559995308518,1491240
2,joint,C02-T012,512,0,258,1024,6.188309695571661,1491240
2,joint,C02-T013,512,0,258,1024,6.185785287991166,1491240
2,joint,C02-T014,512,0,268,1024,6.22184713371098,1491240
2,joint,C02-T015,512,0,256,1024,6.251260608434677,1491240
2,joint,C02-T016,512,0,253,1024,6.229745991528034,1491240
2,joint,C02-T017,512,0,248,1024,6.244217830710113,1491240
2,joint,C02-T018,512,0,249,1024,6.226770692504942,1491240
2,joint,C02-T019,512,0,259,1024,6.231399872340262,1491240
2,joint,C02-T020,512,0,256,1024,6.213492415845394,1491240
2,joint,C02-T021,512,0,252,1024,6.185489039868116,1491240
2,joint,C02-T022,512,0,261,1024,6.20780813228339,1491240
2,joint,C02-T023,512,0,258,1024,6.2036352241411805,1491240
2,joint,C02-T024,512,0,250,1024,6.209349977783859,1491240
2,joint,C02-T025,512,0,260,1024,6.200966383330524,1491240
2,joint,C02-T026,512,0,268,1024,6.204865499399602,1491240
2,joint,C02-T027,512,0,258,1024,6.236302692443132,1491240
2,joint,C02-T028,512,0,256,1024,6.193863575346768,1491240
2,joint,C02-T029,512,0,255,1024,6.172003718093038,1491240
2,joint,C02-T030,512,0,255,1024,6.210976326838136,1491240
2,joint,C02-T031,512,0,249,1024,6.2006229581311345,1491240
4,joint,C04-T000,256,0,247,1024,5.0131989819929,1485756
4,joint,C04-T001,256,0,248,1024,4.979209017939866,1486524
4,joint,C04-T002,256,0,246,1024,5.02871244866401,1486524
4,joint,C04-T003,256,0,243,1024,5.024486370384693,1486524
4,joint,C04-T004,256,0,242,1024,5.031079567037523,1486524
4,joint,C04-T005,256,0,240,1024,4.954002162441611,1486524
4,joint,C04-T006,256,0,240,1024,5.039818390272558,1486524
4,joint,C04-T007,256,0,244,1024,5.080032665282488,1486524
4,joint,C04-T008,256,0,246,1024,5.021747374907136,1486524
4,joint,C04-T009,256,0,244,1024,4.9872372122481465,1486524
4,joint,C04-T010,256,0,250,1024,5.049866288900375,1486524
4,joint,C04-T011,256,0,245,1024,5.055564817041159,1486524
4,joint,C04-T012,256,0,242,1024,5.061542773619294,1486524
4,joint,C04-T013,256,0,245,1024,5.1790017215535045,1486524
4,joint,C04-T014,256,0,247,1024,5.038025928661227,1486524
4,joint,C04-T015,256,0,242,1024,5.021391432732344,1486524
4,joint,C04-T016,256,0,246,1024,5.070980034768581,1486524
4,joint,C04-T017,256,0,240,1024,4.994649481028318,1486524
4,joint,C04-T018,256,0,243,1024,4.950519916601479,1486524
4,joint,C04-T019,256,0,244,1024,5.076125344261527,1489084
4,joint,C04-T020,256,0,245,1024,5.050213827751577,1489084
4,joint,C04-T021,256,0,247,1024,5.0725391786545515,1489084
4,joint,C04-T022,256,0,243,1024,5.022284043952823,1489084
4,joint,C04-T023,256,0,243,1024,5.0123617965728045,1489084
4,joint,C04-T024,256,0,243,1024,4.988752393051982,1489084
4,joint,C04-T025,256,0,248,1024,4.943434006534517,1489084
4,joint,C04-T026,256,0,244,1024,4.968708297237754,1489084
4,joint,C04-T027,256,0,248,1024,4.994763536378741,1489084
4,joint,C04-T028,256,0,246,1024,5.00517543964088,1489084
4,joint,C04-T029,256,0,246,1024,5.100377209484577,1489084
4,joint,C04-T030,256,0,239,1024,4.995318062603474,1489084
4,joint,C04-T031,256,0,243,1024,5.048879556357861,1489084
