target_id,events,variant,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,joint_event_error,updates,wall_seconds,stopped_by,best_loss,f0_hz,onset_seconds
C01-T0000,1,orthogonal,1139.4843255022665,7.370032908460278,15.644803989486858,0.47480747965874553,346,17.094997944310308,patience,0.07736497405889871,[165.5079528389454],[0.6108887589499262]
C01-T0001,1,orthogonal,1163.8511779192595,9.007118100821055,18.437073662186908,0.484970664695072,328,17.705454353243113,patience,0.04476010085503685,[204.40688109818961],[0.4493428643787791]
C01-T0002,1,orthogonal,1164.7129093923759,8.195325630556916,17.816687386529658,0.48532407537354294,344,14.595050912350416,patience,0.044124957671156165,[223.28972571119064],[0.2553267906825043]
C01-T0003,1,orthogonal,0.0023507506511488852,0.00040080139251941205,0.0027993340656807014,1.011004775189748e-06,950,40.47946265526116,patience,6.82720684390059e-07,[176.35911796264782],[1.5405980503114407]
C01-T0004,1,orthogonal,0.0009541065653467546,0.0001807559639743772,0.0033956183767707695,4.132848078644314e-07,1308,53.39899865165353,patience,3.7235040652575643e-07,[257.7353886040075],[0.8256245407842364]
C01-T0005,1,orthogonal,8.041563838806951e-05,2.012045818844399e-05,0.0002448429822768913,3.578860770352407e-08,1562,66.99682594463229,patience,2.7149236406025875e-08,[159.80181955050622],[1.258835104120952]
C01-T0006,1,orthogonal,0.000151117177630308,2.1704171349057333e-05,0.00013540541204892561,6.441013233128238e-08,1506,60.6990727186203,patience,4.686247597515999e-08,[214.15868214902062],[1.4753714550538763]
C01-T0007,1,orthogonal,1156.797653477727,9.300858595253203,15.568352145682523,0.4820340743930302,276,12.012856680899858,patience,0.04302003476698611,[156.89180898422467],[1.0500679536143653]
C01-T0008,1,orthogonal,8.84484917219143e-06,7.68634140779767e-05,0.0004242020106295784,4.8180787128357144e-08,1769,83.68231164384633,patience,5.8283438999077784e-08,[190.9720053139386],[0.9706064606151481]
C01-T0009,1,orthogonal,0.007856390378667623,0.0016325172957909473,0.054008265040054626,3.4288242387859214e-06,808,39.85994654148817,patience,2.0330734945570214e-06,[128.3993138236778],[1.6853811412526025]
C01-T0010,1,orthogonal,0.00016337026890368548,3.098101775123041e-06,0.00015124427855951134,6.809847953405013e-08,1524,70.81234582792968,patience,3.9329741894535537e-08,[216.35202335656996],[0.6563021354118006]
C01-T0011,1,orthogonal,1173.8791871383137,8.601416653498672,10.905261284556826,0.48914587030351697,307,18.828514393419027,patience,0.03885763924807014,[179.8042889698096],[1.5265811716723579]
C01-T0012,1,orthogonal,1157.0426639011691,9.976820676553144,18.367347379477167,0.48214143344555827,302,21.93096236139536,patience,0.04493472642033747,[169.2919282669699],[0.3133157207383228]
C01-T0013,1,orthogonal,0.07911911521592935,0.07256446420045304,0.5436108122623959,5.6068283159112286e-05,348,19.41152336075902,patience,6.471587203312101e-05,[191.1473509094477],[0.473887890743628]
C01-T0014,1,orthogonal,0.0053579350407412666,0.0012757087575199222,0.01277906179277905,2.37058038257118e-06,1148,59.78562446683645,patience,2.003453645726697e-06,[201.44161187023542],[0.6325860763348634]
C01-T0015,1,orthogonal,0.0040149414814654475,0.011562033903622648,0.18664428946737832,7.417382550583097e-06,876,43.3470336869359,patience,4.736171087248746e-06,[99.07423301723182],[1.1878745884924375]
C01-T0016,1,orthogonal,0.3815805113985343,0.009149884021564247,0.18410734097678455,0.00015909469223939377,526,18.35675935074687,patience,9.629906774320854e-05,[282.1089940946689],[0.7446682811789838]
C01-T0017,1,orthogonal,0.07837528073136185,0.006454306954228883,0.08364558795151075,3.290457400713275e-05,442,22.69384682085365,patience,1.655851369078514e-05,[128.14021139329608],[0.9620777206681914]
C01-T0018,1,orthogonal,0.009109912828204015,0.041705495140265114,0.2348198543508494,2.6340862065741246e-05,451,23.275876307860017,patience,2.0166204235072098e-05,[116.91451009826858],[0.5709095497545771]
C01-T0019,1,orthogonal,0.06324062419161616,0.15175857347893285,0.8856001431567656,9.844130014971407e-05,334,18.431771939620376,patience,0.00010781992243652101,[180.16716565919774],[1.3580157506065653]
C01-T0020,1,orthogonal,4.332654415633828e-05,0.0001267020299788868,0.019449586805297098,8.122045331383215e-08,1407,77.41683318093419,patience,8.93357193501047e-08,[171.49000873917151],[1.1333586972846241]
C01-T0021,1,orthogonal,0.00014431635666359177,2.4971966938736045e-05,0.0011419699208046336,6.21242997521303e-08,1244,55.044268012046814,patience,4.010568832370407e-08,[154.0283767692947],[1.4700871870500254]
C01-T0022,1,orthogonal,7.201672470973411e-06,1.5685519549890614e-06,4.559030374372002e-05,3.1567796766512906e-09,1780,78.80928651615977,patience,2.1883619039264682e-09,[144.48782756656317],[0.9202282984760726]
C01-T0023,1,orthogonal,0.2278061550270971,0.0016188818710016761,0.16376365937198378,9.492462380668511e-05,294,13.470667677000165,patience,4.563334422385854e-05,[138.05256344510727],[0.7530604902205713]
C01-T0024,1,orthogonal,1120.77996420962,6.673814380846688,14.011773253907338,0.4670102795085811,290,13.306182572618127,patience,0.07654593870418691,[155.68656196324656],[0.8845851982970807]
C01-T0025,1,orthogonal,0.0013326141385258182,1.9462940592518407e-05,0.0006903566994276026,5.553891209451666e-07,1492,61.088808704167604,patience,3.233062536741013e-07,[289.8026827965318],[1.5425341547652358]
C01-T0026,1,orthogonal,0.08791500214915096,0.0020350513563194284,0.3105795850226069,3.665332576769468e-05,392,16.338038954883814,patience,2.1430113126726106e-05,[220.58026502221992],[1.405187265248269]
C01-T0027,1,orthogonal,0.0002378752431965598,0.00010388716775722173,0.003947829913198646,1.1848864109970495e-07,1313,57.527136102318764,patience,1.1119549633175957e-07,[175.54808457468437],[1.3744930046627861]
