events,variant,reference,metric,n,median_variant_minus_reference,mean_variant_minus_reference,variant_better,variant_worse,tied
2,fading_lw,fading,onset_mae_ms,150,-3.099111425819423e-06,7.808829783961307,76,74,0
2,fading_lw,fading,log_spectral_distance_db,150,0.0002901534232781299,0.45419259093048653,71,79,0
2,fading_lw,fading,joint_event_error,150,-3.6904146625692966e-09,0.010062871018859302,76,74,0
4,clockwise,orthogonal,pitch_mae_cents,150,-188.99165983083762,-185.22584780559026,113,37,0
4,clockwise,orthogonal,onset_mae_ms,150,-25.1036714534568,-47.070840459960856,105,45,0
4,clockwise,orthogonal,log_spectral_distance_db,150,-3.612875325156452,-4.174346941217185,92,58,0
4,clockwise,orthogonal,joint_event_error,150,-0.13334905447625253,-0.11940238267213123,113,37,0
4,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-192.07864004657188,-204.57524743890673,115,35,0
4,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-42.25462180444662,-49.11449743661125,105,45,0
4,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-4.8399693217406945,-5.307071161054176,102,48,0
4,clockwise_lw,orthogonal_lw,joint_event_error,150,-0.11356226361162822,-0.12655843431677505,121,29,0
4,fading,orthogonal,pitch_mae_cents,150,-245.6080849998649,-242.1021692712959,121,29,0
4,fading,orthogonal,onset_mae_ms,150,-18.00160030304115,-61.51433403366374,110,40,0
4,fading,orthogonal,log_spectral_distance_db,150,-7.703716692513769,-6.780309383497475,113,37,0
4,fading,orthogonal,joint_event_error,150,-0.16109789175144273,-0.1536782684988432,118,32,0
4,fading_lw,orthogonal_lw,pitch_mae_cents,150,-232.1165348207771,-237.28641334926456,126,24,0
4,fading_lw,orthogonal_lw,onset_mae_ms,150,-51.61966133908399,-68.01420676960673,115,35,0
4,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-8.79306190758158,-7.57440953486949,118,32,0
4,fading_lw,orthogonal_lw,joint_event_error,150,-0.15146561641566353,-0.15613691577482675,124,26,0
4,fading,clockwise,pitch_mae_cents,150,-0.8870406420784196,-56.876321465705686,104,46,0
4,fading,clockwise,onset_mae_ms,150,-0.1386278103774211,-14.443493573702877,98,52,0
4,fading,clockwise,log_spectral_distance_db,150,-0.8244307183395085,-2.605962442280289,98,52,0
4,fading,clockwise,joint_event_error,150,-0.00046603331956100735,-0.034275885826711955,104,46,0
4,fading_lw,clockwise_lw,pitch_mae_cents,150,-0.6648053804154787,-32.711165910357856,94,56,0
4,fading_lw,clockwise_lw,onset_mae_ms,150,-0.39648772550220784,-18.899709332995464,101,49,0
4,fading_lw,clockwise_lw,log_spectral_distance_db,150,-0.8203324129157477,-2.267338373815313,90,60,0
4,fading_lw,clockwise_lw,joint_event_error,150,-0.0006205839589353895,-0.029578481458051725,97,53,0
4,fading_lw,fading,pitch_mae_cents,150,6.941812747764756e-05,-3.1363110135580956,69,81,0
4,fading_lw,fading,onset_mae_ms,150,7.789229539145737e-06,6.009170509133591,74,76,0
4,fading_lw,fading,log_spectral_distance_db,150,0.0018514640880547006,0.8001649825223354,67,83,0
4,fading_lw,fading,joint_event_error,150,1.177625636536235e-07,0.005314550484132849,65,84,1
6,clockwise,orthogonal,pitch_mae_cents,150,-91.66591188785164,-93.23242625977842,97,53,0
6,clockwise,orthogonal,onset_mae_ms,150,-35.548828938394934,-32.99124083272781,101,49,0
6,clockwise,orthogonal,log_spectral_distance_db,150,-1.837870662593179,-1.9774340173550482,91,59,0
6,clockwise,orthogonal,joint_event_error,150,-0.053915633554515625,-0.06586239049816141,105,45,0
6,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-100.45025455208943,-118.2067646754844,111,39,0
6,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-43.559971767720825,-38.96330266562345,106,44,0
6,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-2.1429653263588095,-2.502929631353083,97,53,0
6,clockwise_lw,orthogonal_lw,joint_event_error,150,-0.0780445264694764,-0.07663197028797594,116,34,0
6,fading,orthogonal,pitch_mae_cents,150,-142.9650496312214,-162.6451736116412,120,30,0
6,fading,orthogonal,onset_mae_ms,150,-28.870837369908614,-47.512354154105836,102,48,0
6,fading,orthogonal,log_spectral_distance_db,150,-2.874327806489024,-4.608940028028369,106,44,0
6,fading,orthogonal,joint_event_error,150,-0.08699997497627215,-0.10375508477116176,121,29,0
6,fading_lw,orthogonal_lw,pitch_mae_cents,150,-136.10278762982801,-145.63857757407735,116,34,0
6,fading_lw,orthogonal_lw,onset_mae_ms,150,-43.371975350438134,-48.60811415693451,106,44,0
6,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-4.0305944935608204,-4.94781747884868,115,35,0
6,fading_lw,orthogonal_lw,joint_event_error,150,-0.08223194184496582,-0.09618393332779286,116,34,0
6,fading,clockwise,pitch_mae_cents,150,-43.46006529127287,-69.41274735186279,103,47,0
6,fading,clockwise,onset_mae_ms,150,-2.003531503632381,-14.521113321378028,88,62,0
6,fading,clockwise,log_spectral_distance_db,150,-1.2700703285139012,-2.6315060106733212,92,58,0
6,fading,clockwise,joint_event_error,150,-0.008191355896463054,-0.03789269427300033,96,54,0
6,fading_lw,clockwise_lw,pitch_mae_cents,150,-6.645344788306424,-27.431812898592973,89,61,0
6,fading_lw,clockwise_lw,onset_mae_ms,150,-5.006625710219723,-9.644811491311062,90,60,0
6,fading_lw,clockwise_lw,log_spectral_distance_db,150,-1.5299810561119889,-2.444887847495598,93,57,0
6,fading_lw,clockwise_lw,joint_event_error,150,-0.00552646621064623,-0.019551963039816916,89,61,0
6,fading_lw,fading,pitch_mae_cents,150,0.7784314200862387,12.88663082372908,66,84,0
6,fading_lw,fading,onset_mae_ms,150,-0.00010188517596728305,6.370519487380568,78,72,0
6,fading_lw,fading,log_spectral_distance_db,150,0.21839523338909228,1.0336537319539356,66,84,0
6,fading_lw,fading,joint_event_error,150,-7.999648187718349e-08,0.01126592716803372,77,73,0
8,clockwise,orthogonal,pitch_mae_cents,150,-66.21524851244637,-54.907558291132176,93,57,0
8,clockwise,orthogonal,onset_mae_ms,150,-44.70903301450311,-36.502560021839685,101,49,0
8,clockwise,orthogonal,log_spectral_distance_db,150,-0.3912028566617627,-0.2570458217417128,80,70,0
8,clockwise,orthogonal,joint_event_error,150,-0.05111054691345502,-0.045626908063588635,113,37,0
8,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-57.11048051130706,-70.3426220007288,102,48,0
8,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-34.27924181048215,-37.33021860479689,105,45,0
8,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-0.7406093087194376,-1.1924276863642607,84,66,0
8,clockwise_lw,orthogonal_lw,joint_event_error,150,-0.04095305688515341,-0.051911985391174656,111,39,0
8,fading,orthogonal,pitch_mae_cents,150,-123.95516481306782,-127.56802391177426,123,27,0
8,fading,orthogonal,onset_mae_ms,150,-44.929252964326984,-50.611737795081694,112,38,0
8,fading,orthogonal,log_spectral_distance_db,150,-2.605941864343363,-2.7878098275523318,98,52,0
8,fading,orthogonal,joint_event_error,150,-0.06671204253816308,-0.08120590843366847,128,22,0
8,fading_lw,orthogonal_lw,pitch_mae_cents,150,-107.8108019318615,-111.51643727322396,122,28,0
8,fading_lw,orthogonal_lw,onset_mae_ms,150,-62.36445465416891,-59.581955665111636,116,34,0
8,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-3.4478337376223265,-3.5766893938117725,104,46,0
8,fading_lw,orthogonal_lw,joint_event_error,150,-0.0811194693639536,-0.08011600535009582,127,23,0
8,fading,clockwise,pitch_mae_cents,150,-53.10862351593833,-72.66046562064206,100,50,0
