events,variant,metric,n,mean,std,median
1,orthogonal,pitch_mae_cents,150,325.0769249699032,523.0191776265168,0.02250168213740448
1,orthogonal,onset_mae_ms,150,2.279436399456327,3.735064400892206,0.003054710771110969
1,orthogonal,log_spectral_distance_db,150,4.074458354851705,6.619179564027956,0.08375421531650395
1,orthogonal,joint_event_error,150,0.13545996110427794,0.21793481346647864,1.3244025574632834e-05
1,orthogonal,updates,150,839.3533333333334,578.7029252215295,574.0
1,orthogonal,wall_seconds,150,39.172981359027325,27.308820600442978,25.60836911574006
2,orthogonal,pitch_mae_cents,150,359.377037657227,345.65404381546057,381.12047881222657
2,orthogonal,onset_mae_ms,150,64.75921085948302,117.26441286328368,3.3725308123145057
2,orthogonal,log_spectral_distance_db,150,8.960866217949134,7.465617528834088,10.399649445314598
2,orthogonal,joint_event_error,150,0.20782208343901049,0.18234393068346144,0.22680736493527154
2,orthogonal,updates,150,937.8,623.7529733893703,718.0
2,orthogonal,wall_seconds,150,47.33034493894006,32.77886425608373,35.52367433626205
4,orthogonal,pitch_mae_cents,150,328.6711575593534,230.1718652195338,312.749937448403
4,orthogonal,onset_mae_ms,150,120.92346075744058,108.63109261117458,109.88127711954729
4,orthogonal,log_spectral_distance_db,150,12.655133570769932,6.174913117669666,13.51470989926274
4,orthogonal,joint_event_error,150,0.24468652745264202,0.12359521365325818,0.26053178270954236
4,orthogonal,updates,150,960.9,430.9313894532486,912.5
4,orthogonal,wall_seconds,150,55.0911151368916,26.874886165824993,51.188273226842284
6,orthogonal,pitch_mae_cents,150,285.08081478736517,176.43196246724477,273.4552246008919
6,orthogonal,onset_mae_ms,150,130.30087883415408,78.45565729323756,130.56466568017228
6,orthogonal,log_spectral_distance_db,150,14.291416001602004,5.1025628061310275,14.765267704131912
6,orthogonal,joint_event_error,150,0.2307510791402069,0.09028929611772388,0.23656395346488576
6,orthogonal,updates,150,1125.6933333333334,500.73505629180045,1077.0
6,orthogonal,wall_seconds,150,69.73153705127537,32.324246944862104,65.65418209135532
8,orthogonal,pitch_mae_cents,150,261.1493718549612,128.53744763138025,265.194323853894
8,orthogonal,onset_mae_ms,150,143.67421631302014,73.53259377193207,136.00928386169255
8,orthogonal,log_spectral_distance_db,150,15.74043779389233,4.1062295960791575,16.113482720238217
8,orthogonal,joint_event_error,150,0.22152346569561512,0.06843507819952206,0.22450426936070852
8,orthogonal,updates,150,1088.44,363.56784361760003,1080.5
8,orthogonal,wall_seconds,150,68.65924829808995,23.810867649422963,66.94702393654734
1,orthogonal_lw,pitch_mae_cents,150,308.8881637750539,513.8621755888869,0.04454699865200218
1,orthogonal_lw,onset_mae_ms,150,2.2175548189492043,3.7495390016533316,0.010072188537185722
1,orthogonal_lw,log_spectral_distance_db,150,3.9915712564192845,6.600421140473713,0.19082410808371436
1,orthogonal_lw,joint_event_error,150,0.12871446252799632,0.21411988652771605,2.634662353146711e-05
1,orthogonal_lw,updates,150,842.3066666666666,662.6353927414733,542.5
1,orthogonal_lw,wall_seconds,150,37.63676959628239,29.975256496986923,22.916358983144164
2,orthogonal_lw,pitch_mae_cents,150,337.7875231205496,339.11649008403106,354.67508490717546
2,orthogonal_lw,onset_mae_ms,150,66.25531573452764,124.13529887471964,3.2139652617593217
2,orthogonal_lw,log_spectral_distance_db,150,8.68879929965902,7.452485144468887,10.697572722514549
2,orthogonal_lw,joint_event_error,150,0.2028057322711948,0.1849801128271338,0.22944712074199097
2,orthogonal_lw,updates,150,1034.2333333333333,664.7619891638935,780.0
2,orthogonal_lw,wall_seconds,150,49.91465681349859,32.825152409628004,38.027133335359395
4,orthogonal_lw,pitch_mae_cents,150,320.7190906237639,234.79091569344513,300.22244383380803
4,orthogonal_lw,onset_mae_ms,150,133.4325040025172,104.55269475738527,126.66414988764178
4,orthogonal_lw,log_spectral_distance_db,150,14.249398704664282,5.970308810428269,14.497976784543525
4,orthogonal_lw,joint_event_error,150,0.2524597252127584,0.11616948049496803,0.26785666682667914
4,orthogonal_lw,updates,150,964.5733333333334,481.2626478305459,872.0
4,orthogonal_lw,wall_seconds,150,52.779550252848615,27.37307000293962,47.256974826101214
6,orthogonal_lw,pitch_mae_cents,150,280.9608495735304,172.84916926041404,261.582286571859
6,orthogonal_lw,onset_mae_ms,150,137.76715832436335,82.40123205252138,140.4257891530562
6,orthogonal_lw,log_spectral_distance_db,150,15.663947184376253,5.304929025565795,15.766148912758982
6,orthogonal_lw,joint_event_error,150,0.23444585486487177,0.08889561651341431,0.24729436149856726
6,orthogonal_lw,updates,150,994.7066666666667,359.0236863186155,978.0
6,orthogonal_lw,wall_seconds,150,60.06889396599804,21.570285025999684,58.62072520516813
8,orthogonal_lw,pitch_mae_cents,150,258.20133731999937,120.77415830608189,268.3020570049598
8,orthogonal_lw,onset_mae_ms,150,154.2011511754912,69.88927968315959,143.1067752481572
8,orthogonal_lw,log_spectral_distance_db,150,17.390895035510955,4.601233716937282,17.57426244154341
8,orthogonal_lw,joint_event_error,150,0.2242803258207304,0.06241066584374132,0.23213477644073002
8,orthogonal_lw,updates,150,1089.2733333333333,408.30326432684234,1072.0
8,orthogonal_lw,wall_seconds,150,72.04246909629865,27.755763275572562,71.89014044031501
1,clockwise,pitch_mae_cents,150,0.05534244939729478,0.08564976900967239,0.018864899331841926
1,clockwise,onset_mae_ms,150,0.016098671431468887,0.02335254860197677,0.0053794981648147555
1,clockwise,log_spectral_distance_db,150,0.1978082478049107,0.23841472255956417,0.09180390271570697
1,clockwise,joint_event_error,150,2.772577427979088e-05,3.674175012914466e-05,1.4241042678973675e-05
1,clockwise,updates,150,799.0466666666666,441.4331044757171,607.5
1,clockwise,wall_seconds,150,42.53660779414388,24.602122054552993,32.57305646967143
2,clockwise,pitch_mae_cents,150,77.05393452736809,203.92544367765436,0.16906748432552487
2,clockwise,onset_mae_ms,150,41.943095960215565,102.69248726736643,0.04834329189168374
2,clockwise,log_spectral_distance_db,150,3.211584861063976,6.117752691218485,0.6249387766957986
2,clockwise,joint_event_error,150,0.05780043280575147,0.13586467538358654,0.0001003921033094918
2,clockwise,updates,150,1068.5133333333333,625.2749165747329,983.0
2,clockwise,wall_seconds,150,60.154693266429625,35.59778544433804,55.07137581706047
4,clockwise,pitch_mae_cents,150,143.44530975376313,190.27227938195182,18.76982739449242
4,clockwise,onset_mae_ms,150,73.85262029747973,95.62386095437498,22.799185681856883
4,clockwise,log_spectral_distance_db,150,8.480786629552748,7.529891766940549,8.234977970433281
4,clockwise,joint_event_error,150,0.12528414478051075,0.13738503474651564,0.07696498377931191
4,clockwise,updates,150,1301.0333333333333,669.2501605565154,1142.5
4,clockwise,wall_seconds,150,81.7495717205635,44.1420545679082,71.2074294295162
6,clockwise,pitch_mae_cents,150,191.84838852758674,150.9874920424679,185.96858162498563
6,clockwise,onset_mae_ms,150,97.30963800142631,81.37981623011842,90.63662561405307
6,clockwise,log_spectral_distance_db,150,12.313981984246956,6.5517644396349946,13.077321915749312
6,clockwise,joint_event_error,150,0.16488868864204553,0.10564102698392704,0.17938102994039767
6,clockwise,updates,150,1556.9266666666667,713.976096987393,1495.0
6,clockwise,wall_seconds,150,107.36432936497654,50.76662492102631,103.79232659749687
8,clockwise,pitch_mae_cents,150,206.24181356382906,126.02464175273552,194.1562460756768
8,clockwise,onset_mae_ms,150,107.17165629118045,62.81099550326223,100.37752306582706
8,clockwise,log_spectral_distance_db,150,15.48339197215062,5.2018964856809,16.286932964019314
8,clockwise,joint_event_error,150,0.1758965576320265,0.07783805378980045,0.1816973154719353
8,clockwise,updates,150,1744.4733333333334,711.728962972409,1736.0
8,clockwise,wall_seconds,150,130.04542516194905,54.33150101328985,127.78052194416523
1,clockwise_lw,pitch_mae_cents,150,0.036032531234467965,0.06736755924724011,0.005041035882444171
1,clockwise_lw,onset_mae_ms,150,0.014898021045223385,0.029478625610405998,0.002273838481614554
1,clockwise_lw,log_spectral_distance_db,150,0.17787321214881632,0.26307775687909113,0.03333709108823986
1,clockwise_lw,joint_event_error,150,2.0017219694927325e-05,3.2220900187935105e-05,5.914313737078007e-06
1,clockwise_lw,updates,150,957.24,510.9851214687333,765.5
1,clockwise_lw,wall_seconds,150,53.089649243724224,29.549362369842676,43.05445731431246
2,clockwise_lw,pitch_mae_cents,150,54.65337505475833,164.4652006833663,0.1393448491153101
2,clockwise_lw,onset_mae_ms,150,38.11710162537004,105.61812129432626,0.058562807457474
2,clockwise_lw,log_spectral_distance_db,150,2.849191041503882,5.445929099772391,0.6923562303301684
2,clockwise_lw,joint_event_error,150,0.049222527703285016,0.12739051026567258,0.00010034183060864524
2,clockwise_lw,updates,150,1128.6866666666667,652.2990537519789,982.0
2,clockwise_lw,wall_seconds,150,65.67548885347632,38.291134395886516,55.53654050664045
4,clockwise_lw,pitch_mae_cents,150,116.1438431848572,159.01327170143452,20.701909219773746
4,clockwise_lw,onset_mae_ms,150,84.3180065659059,99.74565256224038,44.95817131530917
4,clockwise_lw,log_spectral_distance_db,150,8.942327543610109,7.9445154585306526,10.028358608657769
4,clockwise_lw,joint_event_error,150,0.1259012908959834,0.13640915330137618,0.08489216593657745
4,clockwise_lw,updates,150,1178.54,598.3475638072691,1088.0
4,clockwise_lw,wall_seconds,150,77.56198274242148,39.71463389122194,73.13389798440039
6,clockwise_lw,pitch_mae_cents,150,162.75408489804605,131.336288767744,162.53628828878897
6,clockwise_lw,onset_mae_ms,150,98.8038556587399,78.89628392015132,90.70599543213774
6,clockwise_lw,log_spectral_distance_db,150,13.16101755302317,6.869013273660154,13.247373505617034
6,clockwise_lw,joint_event_error,150,0.1578138845768958,0.09682813339349415,0.17850643690922247
6,clockwise_lw,updates,150,1379.52,618.8108396772097,1431.5
