metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
event-cosine,4,pitch,bidirectional_cumulative_energy,0.28055653016435567,0.276944569990262,8192,32,256
event-cosine,4,pitch,log_quadrature_bicul,0.29122827479146174,0.27628170305347693,8192,32,256
event-cosine,4,pitch,fading,0.3302141366812881,0.26908905261104943,8192,32,256
event-cosine,2,time,waveform_l1,0.014712933128783988,0.6536801784914527,8192,32,256
event-cosine,2,time,waveform_mse,0.026136763099588563,0.6285285563110109,8192,32,256
event-cosine,2,time,single_stft,0.27104408511620437,0.5912567003362377,8192,32,256
event-cosine,2,time,linear_mss,0.10932509509526352,0.627319917595771,8192,32,256
event-cosine,2,time,smooth_mss,0.07398000723740489,0.6478382555281574,8192,32,256
event-cosine,2,time,sot_published_composite,0.002754900002783838,0.6736962834560553,8192,32,256
event-cosine,2,time,linear_jtfot,0.2842714040347204,0.6131993141476102,8192,32,256
event-cosine,2,time,log_jtfot,0.17129609911417235,0.6295871110960404,8192,32,256
event-cosine,2,time,bidirectional_cumulative_energy,0.5496230687269834,0.50668969980513,8192,32,256
event-cosine,2,time,log_quadrature_bicul,0.553830686456209,0.5045683121422463,8192,32,256
event-cosine,2,time,fading,0.539065084115267,0.5212497455591504,8192,32,256
event-cosine,4,time,waveform_l1,0.02884502904874045,0.4463902734807836,8192,32,256
event-cosine,4,time,waveform_mse,0.05350153664322527,0.43884855859690736,8192,32,256
event-cosine,4,time,single_stft,0.15099152259429766,0.4225589040611957,8192,32,256
event-cosine,4,time,linear_mss,0.09451699824681697,0.43750808405307456,8192,32,256
event-cosine,4,time,smooth_mss,0.0740433099995389,0.4400675865365328,8192,32,256
event-cosine,4,time,sot_published_composite,0.006273637174808855,0.4494232271719583,8192,32,256
event-cosine,4,time,linear_jtfot,0.1451848104502287,0.4234309430902459,8192,32,256
event-cosine,4,time,log_jtfot,0.0990680238250648,0.4295389320214796,8192,32,256
event-cosine,4,time,bidirectional_cumulative_energy,0.3226308983532623,0.3974690886891601,8192,32,256
event-cosine,4,time,log_quadrature_bicul,0.32532618488232506,0.39579738445044826,8192,32,256
event-cosine,4,time,fading,0.33865177381754386,0.3986789260086528,8192,32,256
event-cosine,2,joint,waveform_l1,0.022609009231462935,0.4680315712986343,16384,32,512
event-cosine,2,joint,waveform_mse,0.023072275613308574,0.46039806203530115,16384,32,512
event-cosine,2,joint,single_stft,0.11054273144569467,0.48114101311168433,16384,32,512
event-cosine,2,joint,linear_mss,0.10086284653778443,0.4748801146412731,16384,32,512
event-cosine,2,joint,smooth_mss,0.10133934332615951,0.46592886536815387,16384,32,512
event-cosine,2,joint,sot_published_composite,0.0068461390914811154,0.4667835397230765,16384,32,512
event-cosine,2,joint,linear_jtfot,0.17890574458309938,0.4512694408277783,16384,32,512
event-cosine,2,joint,log_jtfot,0.16624378646830001,0.45826002709700214,16384,32,512
event-cosine,2,joint,bidirectional_cumulative_energy,0.5093807743893941,0.39117702382340824,16384,32,512
event-cosine,2,joint,log_quadrature_bicul,0.5152155081813303,0.3908147363822647,16384,32,512
event-cosine,2,joint,fading,0.4581077169701347,0.39824945096219677,16384,32,512
event-cosine,4,joint,waveform_l1,0.014156892302191262,0.34233042796581437,8192,32,256
event-cosine,4,joint,waveform_mse,0.03871365555775136,0.3384823342515269,8192,32,256
event-cosine,4,joint,single_stft,0.08118401042323967,0.3389677398138508,8192,32,256
event-cosine,4,joint,linear_mss,0.08162671163882752,0.33921407270211307,8192,32,256
event-cosine,4,joint,smooth_mss,0.07528531806773278,0.3408718948636416,8192,32,256
event-cosine,4,joint,sot_published_composite,0.002189886535843096,0.33703521504819056,8192,32,256
event-cosine,4,joint,linear_jtfot,0.12365269931242567,0.33206167667062714,8192,32,256
event-cosine,4,joint,log_jtfot,0.11425575661333273,0.3365212199790249,8192,32,256
event-cosine,4,joint,bidirectional_cumulative_energy,0.33845162026145525,0.3162000100597177,8192,32,256
event-cosine,4,joint,log_quadrature_bicul,0.3457657871127977,0.31513480239936464,8192,32,256
event-cosine,4,joint,fading,0.3350159923448569,0.31262231360062914,8192,32,256
