index,mode,time_horizon_seconds,frequency_horizon_hz,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,canonical_loss,training_loss,updates,stopped_by,wall_seconds
0,plateau,,,15.798138627157433,48.29996216552407,0.073773013573794,14.31798330124399,0.007360697347433053,0.007360697347433053,248,patience,16.99361395649612
1,plateau,2.0,2000.0,16.67994208227742,47.14928175601546,0.06975653164985582,13.537096495607095,0.0075867688843935695,0.006657224619275133,314,patience,20.912149047479033
2,plateau,1.0,1000.0,15.499988860752527,49.044085830449006,0.07116261750618659,15.17651803869395,0.007513849806906784,0.006841462055636429,458,patience,28.056821692734957
3,plateau,0.5,500.0,16.176517558067136,16.75290961212153,0.023800681921516898,5.777575797324946,0.004044566764695033,0.003225929764617005,1324,patience,86.7438099719584
4,plateau,0.25,250.0,42.077160600473356,33.736951924296704,0.06427205060938429,9.197001050437791,0.007711475612756592,0.004958970080765683,1625,patience,106.28644540533423
5,fresh,,,99.72826595804446,116.17840926799505,0.13132684792192167,17.36068550893155,0.01002732112504956,0.01002732112504956,1452,patience,96.83672371413559
6,fresh,2.0,2000.0,22.771086911786774,18.074535852150547,0.026122051564074822,8.217872700228156,0.003275876705278514,0.002997998971479101,1612,patience,105.9536591693759
7,fresh,1.0,1000.0,0.08423116937191606,0.025081541961902154,5.4066602658940845e-05,0.9674648644345267,2.8081210284587097e-05,2.5447011540905237e-05,3000,maximum updates,195.3674100767821
8,fresh,0.5,500.0,10.64973719839263,18.899374135316258,0.0231297091482123,5.891077117594213,0.0021923959787845332,0.0028163152577377953,763,patience,50.428520230576396
9,fresh,0.25,250.0,0.10987663611967884,0.03998751830666669,7.000082231622357e-05,0.9112952315398082,5.527360149418965e-05,3.3725326080165995e-05,1344,patience,88.04453835543245
