events,condition,target,candidates,loss,metric,mean,eligible
2,pitch,C02-T000,256,sot_published_composite,both_directed,0.548828125,256
2,pitch,C02-T000,256,linear_jtfot,both_directed,0.61328125,256
2,pitch,C02-T000,256,log_jtfot,both_directed,0.630859375,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,both_directed,0.640625,256
2,pitch,C02-T000,256,log_quadrature_bicul,both_directed,0.66796875,256
2,pitch,C02-T000,256,fading,both_directed,0.7109375,256
2,pitch,C02-T000,256,waveform_l1,pitch_directed,0.611328125,256
2,pitch,C02-T000,256,waveform_mse,pitch_directed,0.603515625,256
2,pitch,C02-T000,256,single_stft,pitch_directed,0.625,256
2,pitch,C02-T000,256,linear_mss,pitch_directed,0.650390625,256
2,pitch,C02-T000,256,smooth_mss,pitch_directed,0.716796875,256
2,pitch,C02-T000,256,sot_published_composite,pitch_directed,0.76953125,256
2,pitch,C02-T000,256,linear_jtfot,pitch_directed,0.732421875,256
2,pitch,C02-T000,256,log_jtfot,pitch_directed,0.74609375,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,pitch_directed,0.822265625,256
2,pitch,C02-T000,256,log_quadrature_bicul,pitch_directed,0.84765625,256
2,pitch,C02-T000,256,fading,pitch_directed,0.873046875,256
2,pitch,C02-T000,256,waveform_l1,time_directed,0.6814814814814815,135
2,pitch,C02-T000,256,waveform_mse,time_directed,0.6518518518518519,135
2,pitch,C02-T000,256,single_stft,time_directed,0.5555555555555556,135
2,pitch,C02-T000,256,linear_mss,time_directed,0.6037037037037037,135
2,pitch,C02-T000,256,smooth_mss,time_directed,0.7222222222222222,135
2,pitch,C02-T000,256,sot_published_composite,time_directed,0.28888888888888886,135
2,pitch,C02-T000,256,linear_jtfot,time_directed,0.6925925925925925,135
2,pitch,C02-T000,256,log_jtfot,time_directed,0.6888888888888889,135
2,pitch,C02-T000,256,bidirectional_cumulative_energy,time_directed,0.6074074074074074,135
2,pitch,C02-T000,256,log_quadrature_bicul,time_directed,0.6185185185185185,135
2,pitch,C02-T000,256,fading,time_directed,0.6481481481481481,135
2,pitch,C02-T000,256,waveform_l1,dot_directed,0.662109375,256
