case,variant,stage,loss,pitch_mae_cents,onset_mae_ms,joint_event_error,relative_waveform_l2,best_update,updates,wall_seconds
C04-T0005,clockwise,baseline,0.007878666817394341,5.480766835670544,70.45211720252247,0.04479452204686473,1.3175469055562834,2315,2400,148.60604813322425
C04-T0005,clockwise,exploration_endpoint,0.0014897342382173438,2.2964813122876526,2.0973738116855656,0.0019199652611371013,1.110207075393391,2315,2400,148.60604813322425
C04-T0005,clockwise,last,2.3273814516560345e-05,0.03260053694823324,0.01564555954280955,1.7607143756127732e-05,0.02813184539977016,2315,2400,148.60604813322425
C04-T0005,clockwise,final,9.824488032667268e-06,0.03498937979593724,0.0031503088319118078,1.4972430977918973e-05,0.00934170223178579,2315,2400,148.60604813322425
C04-T0005,uniform_eight,baseline,0.007878666817394341,5.480766835670544,70.45211720252247,0.04479452204686473,1.3175469055562834,2302,2400,138.00241135805845
C04-T0005,uniform_eight,exploration_endpoint,0.0006617060354404843,0.8310540900687582,0.8526509368830815,0.0007041665495406017,1.171153237233727,2302,2400,138.00241135805845
C04-T0005,uniform_eight,last,3.702463987051703e-05,0.051010740489619205,0.022629753118230678,2.6090986798585326e-05,0.04485363566865996,2302,2400,138.00241135805845
C04-T0005,uniform_eight,final,1.2802176188224599e-05,0.04087144003805439,0.008001085959052912,2.0998710605632227e-05,0.01856209385728683,2302,2400,138.00241135805845
C04-T0005,diagonal_control,baseline,0.007878666817394341,5.480766835670544,70.45211720252247,0.04479452204686473,1.3175469055562834,0,2400,131.77954986318946
C04-T0005,diagonal_control,exploration_endpoint,0.008240823919529423,13.318546708747965,71.20165415362001,0.045935826067009404,1.4494523627391596,0,2400,131.77954986318946
C04-T0005,diagonal_control,last,0.008001477036204381,6.34030409855515,72.77946400725865,0.0467155554404593,1.2891046880883978,0,2400,131.77954986318946
C04-T0005,diagonal_control,final,0.007878666817394341,5.480766835670544,70.45211720252247,0.04479452204686473,1.3175469055562834,0,2400,131.77954986318946
C04-T0003,clockwise,baseline,0.019242356079101398,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834,2253,2400,140.32476911321282
C04-T0003,clockwise,exploration_endpoint,0.0027993561260129672,2.7282925070745967,2.291073755434178,0.00206971415365776,1.3409354801854678,2253,2400,140.32476911321282
C04-T0003,clockwise,last,7.45395217370523e-05,0.09154717818599492,0.031131566249405218,4.900677494231675e-05,0.08259719022419068,2253,2400,140.32476911321282
C04-T0003,clockwise,final,1.681979971601748e-05,0.02995828459196381,0.007654382964010498,1.3579975802233997e-05,0.022031896083522903,2253,2400,140.32476911321282
C04-T0003,uniform_eight,baseline,0.019242356079101398,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834,0,2400,124.66621462069452
C04-T0003,uniform_eight,exploration_endpoint,0.020516867956422852,70.79187119921376,94.13993772100336,0.07028532700284353,1.423515255284973,0,2400,124.66621462069452
C04-T0003,uniform_eight,last,0.019522594591442278,56.17302696220247,96.78521199590611,0.07096285150293355,1.2940623037127261,0,2400,124.66621462069452
C04-T0003,uniform_eight,final,0.019242356079101398,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834,0,2400,124.66621462069452
C04-T0003,diagonal_control,baseline,0.019242356079101398,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834,0,2400,120.64733658358455
C04-T0003,diagonal_control,exploration_endpoint,0.019965336037045086,62.82626200238532,93.51379692706413,0.07033854140290197,1.2741430589171279,0,2400,120.64733658358455
C04-T0003,diagonal_control,last,0.019538291863063252,53.89442995639124,97.48320242145954,0.07120037041581663,1.335199661075206,0,2400,120.64733658358455
C04-T0003,diagonal_control,final,0.019242356079101398,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834,0,2400,120.64733658358455
C04-T0007,clockwise,baseline,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,165.5842852257192
C04-T0007,clockwise,exploration_endpoint,0.022869906976215815,602.7456846006288,179.4176330814673,0.27734230793704195,1.4664421187261372,0,2400,165.5842852257192
C04-T0007,clockwise,last,0.021764759252024302,93.24803131778715,364.17747697017364,0.2464714863703836,1.487962806785751,0,2400,165.5842852257192
C04-T0007,clockwise,final,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,165.5842852257192
C04-T0007,uniform_eight,baseline,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,154.6785804964602
C04-T0007,uniform_eight,exploration_endpoint,0.01765549562356002,516.8013016102973,212.90883116132983,0.2570414509130135,1.3641214286180992,0,2400,154.6785804964602
C04-T0007,uniform_eight,last,0.022430592305243136,328.69092862346923,292.98671231487526,0.23118433430456126,1.2945455942818669,0,2400,154.6785804964602
C04-T0007,uniform_eight,final,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,154.6785804964602
C04-T0007,diagonal_control,baseline,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,145.30819346755743
C04-T0007,diagonal_control,exploration_endpoint,0.017633298550637822,354.4982206839054,266.1638972872872,0.22484419256066557,1.5814444926233553,0,2400,145.30819346755743
C04-T0007,diagonal_control,last,0.02444301834293832,322.169441420475,324.4764488532327,0.2466731674837933,1.3938595157638354,0,2400,145.30819346755743
C04-T0007,diagonal_control,final,0.012872643143505866,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681235,0,2400,145.30819346755743
C06-T0000,clockwise,baseline,0.00724561023274041,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223014,2032,2400,192.65277507901192
C06-T0000,clockwise,exploration_endpoint,0.007619210189912884,95.71083729378053,19.377673483495247,0.04559111746231911,1.4169155918759844,2032,2400,192.65277507901192
C06-T0000,clockwise,last,0.0017697544284649765,6.789945868633384,45.48020926512371,0.030155322089628688,0.5268845818301569,2032,2400,192.65277507901192
C06-T0000,clockwise,final,0.001765775968941118,6.860958226816756,45.58894779205176,0.030262417279403073,0.5367172216804839,2032,2400,192.65277507901192
C06-T0000,uniform_eight,baseline,0.00724561023274041,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223014,2082,2400,181.76813312247396
C06-T0000,uniform_eight,exploration_endpoint,0.007541113566428209,111.2777052789667,77.32302935205334,0.067898800563658,1.1629925236731151,2082,2400,181.76813312247396
C06-T0000,uniform_eight,last,0.0072672710119495625,29.04216034349597,78.2621557057462,0.053363453537651595,1.2818225881392242,2082,2400,181.76813312247396
