scope,state,variant,metric,n,mean,std,median,better,worse,tied,recovered
all_seven,best,unfaded,pitch_mae_cents,7,91.50487028913867,112.77224509607203,43.190778212157305,0,0,7,0
all_seven,best,unfaded,onset_mae_ms,7,97.51778625246091,82.07936391551429,70.01206718231279,0,0,7,0
all_seven,best,unfaded,joint_event_error,7,0.10675203339514676,0.09147234633159501,0.06932109864941076,0,0,7,0
all_seven,best,unfaded,log_spectral_distance_db,7,14.708007756759224,7.550913116988817,15.444751423295745,0,0,7,0
all_seven,best,time_annealed,pitch_mae_cents,7,122.51342552340648,176.0837125289329,49.864466365309625,4,3,0,2
all_seven,best,time_annealed,onset_mae_ms,7,102.14514503455828,117.84337094834827,36.29085257067934,5,2,0,2
all_seven,best,time_annealed,joint_event_error,7,0.13006859460633727,0.14775868001033765,0.051443645583595175,5,2,0,2
all_seven,best,time_annealed,log_spectral_distance_db,7,11.790305560061713,8.16764529709296,13.840097709080943,5,2,0,2
all_seven,last,unfaded,pitch_mae_cents,7,135.43766837973553,177.42171221075284,52.32016780493008,0,0,7,0
all_seven,last,unfaded,onset_mae_ms,7,125.92930555028263,126.53395431451285,72.93733865941616,0,0,7,0
all_seven,last,unfaded,joint_event_error,7,0.13629737694330663,0.13908674681273894,0.06911094440593986,0,0,7,0
all_seven,last,unfaded,log_spectral_distance_db,7,15.464509844791497,7.943384026586506,15.880236183758669,0,0,7,0
all_seven,last,time_annealed,pitch_mae_cents,7,170.29062786323433,167.27253675089898,107.73612070465018,4,3,0,2
all_seven,last,time_annealed,onset_mae_ms,7,92.25440238912435,107.5968036509838,30.348321114017494,6,1,0,2
all_seven,last,time_annealed,joint_event_error,7,0.14941785366503552,0.14316921022745438,0.08527550466201227,4,3,0,2
all_seven,last,time_annealed,log_spectral_distance_db,7,11.969094602442036,7.72344038237378,17.12393193883077,5,2,0,2
other_five,best,unfaded,pitch_mae_cents,5,109.57523765193851,129.7832782559641,43.190778212157305,0,0,5,0
other_five,best,unfaded,onset_mae_ms,5,113.75418491219152,94.1625213140086,101.79532898859253,0,0,5,0
other_five,best,unfaded,joint_event_error,5,0.12221871012785086,0.10725410261278796,0.09393029579708226,0,0,5,0
other_five,best,unfaded,log_spectral_distance_db,5,15.161191940221965,9.103736431376523,16.87687915587985,0,0,5,0
other_five,best,time_annealed,pitch_mae_cents,5,158.0582298125459,201.04915400223499,49.864466365309625,2,3,0,1
other_five,best,time_annealed,onset_mae_ms,5,139.25809643217994,121.49525244853135,179.88433101476252,3,2,0,1
other_five,best,time_annealed,joint_event_error,5,0.1717862228404178,0.1574973401846527,0.19069643595894678,3,2,0,1
other_five,best,time_annealed,log_spectral_distance_db,5,14.14412686868709,7.911728524832165,16.289264931040552,3,2,0,1
other_five,last,unfaded,pitch_mae_cents,5,170.22024798629067,202.58647933975377,52.32016780493008,0,0,5,0
other_five,last,unfaded,onset_mae_ms,5,151.0247854237583,145.64841875225903,100.76142368902569,0,0,5,0
other_five,last,unfaded,joint_event_error,5,0.16323584433964816,0.16075701372991497,0.09170063905770981,0,0,5,0
other_five,last,unfaded,log_spectral_distance_db,5,16.072107997294644,9.547738357621208,17.18713094530728,0,0,5,0
other_five,last,time_annealed,pitch_mae_cents,5,216.82743851344713,176.20663066378197,261.448095374253,3,2,0,1
other_five,last,time_annealed,onset_mae_ms,5,124.68591918188754,112.7049878215238,116.13982028828481,4,1,0,1
other_five,last,time_annealed,joint_event_error,5,0.19210911051209192,0.14787065910521485,0.2577176993502718,3,2,0,1
other_five,last,time_annealed,log_spectral_distance_db,5,14.415947007258108,7.306224907833816,17.49172578370096,3,2,0,1
