target_id,variant,state,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,updates,best_update,stopped_by,recovered
C04-T0005,unfaded,best,6.227454194229928,70.01206718231279,0.06684958447736232,11.705343172908995,2307,1982,terminal patience,False
C04-T0005,unfaded,last,6.447482519270693,72.93733865941616,0.06879147249896567,12.010792743308594,2307,1982,terminal patience,False
C04-T0005,time_annealed,best,0.18714916845186172,0.035932580053688046,0.00010540245867676094,0.7617034446522881,3000,2984,maximum updates,True
C04-T0005,time_annealed,last,0.1610817707548815,0.08015209844308702,0.0001039184327767416,1.4015994854443325,3000,2984,maximum updates,True
C04-T0003,unfaded,best,43.190778212157305,101.79532898859253,0.09393029579708226,16.87687915587985,2366,1539,terminal patience,False
C04-T0003,unfaded,last,52.32016780493008,100.76142368902569,0.09170063905770981,17.18713094530728,2366,1539,terminal patience,False
C04-T0003,time_annealed,best,0.39816488067750905,0.10382116363080035,0.00022887057370978063,0.9798119842628733,2559,2311,terminal patience,True
C04-T0003,time_annealed,last,0.7939721378058743,0.286994507073042,0.0004529462034583354,1.3661327197665931,2559,2311,terminal patience,True
C04-T0007,unfaded,best,12.133017132698916,2.683138367739563,0.006932128728169508,4.126727076972604,2647,2399,terminal patience,False
C04-T0007,unfaded,last,7.538875755440796,3.6844820834711633,0.0047018376245459145,5.126271540864092,2647,2399,terminal patience,False
C04-T0007,time_annealed,best,490.5130579775368,179.88433101476252,0.39237968842586063,13.840097709080943,3000,138,maximum updates,False
C04-T0007,time_annealed,last,454.23383877469774,254.655907146436,0.3361519660445562,18.18067972730033,3000,138,maximum updates,False
C06-T0000,unfaded,best,7.307809606078483,45.61431081991008,0.0491566637856341,7.434068880915713,2298,1924,terminal patience,False
C06-T0000,unfaded,last,11.337387076803774,45.785418040101455,0.049306573900744534,7.5290923998916375,2298,1924,terminal patience,False
C06-T0000,time_annealed,best,46.0926060704449,36.29085257067934,0.04173418919010932,16.289264931040552,3000,1673,maximum updates,False
C06-T0000,time_annealed,last,91.65073955014846,30.348321114017494,0.0701599415675614,17.91726486669189,3000,1673,maximum updates,False
C06-T0008,unfaded,best,304.31204148389344,215.2781761965,0.2700256678147646,22.73039327551638,2258,348,terminal patience,False
C06-T0008,unfaded,last,421.5060402140871,259.5161175331016,0.3131715823032639,24.31015333518667,2258,348,terminal patience,False
C06-T0008,time_annealed,best,49.864466365309625,180.30835998461149,0.19069643595894678,17.77090078339793,2768,788,terminal patience,False
C06-T0008,time_annealed,last,261.448095374253,116.13982028828481,0.2577176993502718,17.49172578370096,2768,788,terminal patience,False
C08-T0000,unfaded,best,86.43044957004828,43.841512023956,0.06932109864941076,15.444751423295745,3000,2991,maximum updates,False
C08-T0000,unfaded,last,90.51495620742455,53.443873073770774,0.06911094440593986,15.880236183758669,3000,2991,maximum updates,False
C08-T0000,time_annealed,best,67.1156804326641,18.689600500954583,0.051443645583595175,11.04980113234426,3000,1757,maximum updates,False
C08-T0000,time_annealed,last,107.73612070465018,22.27106871598963,0.08527550466201227,10.302327695359377,3000,1757,maximum updates,False
C08-T0004,unfaded,best,180.93254182486433,203.39997018821538,0.19104879451360376,24.637891311825285,3000,213,maximum updates,False
C08-T0004,unfaded,last,358.39876908019164,345.37648577309164,0.35729858881197657,26.207891765223533,3000,213,maximum updates,False
C08-T0004,time_annealed,best,203.4228537687607,299.70311742721566,0.23389193005346237,21.84055893565315,3000,60,maximum updates,False
C08-T0004,time_annealed,last,276.0105467303305,221.99855285362634,0.29606299939461195,17.12393193883077,3000,60,maximum updates,False
