metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
phrase-cosine,8,joint,log_cel,0.12632832235008698,0.25496100377946723,8192,32,256
phrase-cosine,8,joint,dec_cel,0.13923896857455725,0.24947414581014132,8192,32,256
phrase-cosine,8,joint,tlog_cel,0.14699068699529144,0.2475172895959501,8192,32,256
phrase-cosine,1,pitch,waveform_l1,0.02478466634953175,0.21105235856203236,8192,32,256
phrase-cosine,1,pitch,waveform_mse,0.013383220977783156,0.17119578156419687,8192,32,256
phrase-cosine,1,pitch,single_stft,0.2623900760566869,0.7373929614979728,8192,32,256
phrase-cosine,1,pitch,mss,-0.006141018790929695,0.335374946468021,8192,32,256
phrase-cosine,1,pitch,smooth_mss,0.1614222412486026,0.38260092314986927,8192,32,256
phrase-cosine,1,pitch,sot_published_composite,0.009788377122658905,0.05763896316510632,8192,32,256
phrase-cosine,1,pitch,sot_no_cut,-0.00042206085461265666,0.006892205615733363,8192,32,256
phrase-cosine,1,pitch,linear_jtfot,0.038854323720220796,0.31249022813561694,8192,32,256
phrase-cosine,1,pitch,log_jtfot,0.2751884066585274,0.39799591184540645,8192,32,256
phrase-cosine,1,pitch,cel,0.8255634048417091,0.2134746861320717,8192,32,256
phrase-cosine,1,pitch,log_cel,0.8703655204855634,0.1697274487177674,8192,32,256
phrase-cosine,1,pitch,dec_cel,0.7898656665804772,0.1854608356203898,8192,32,256
phrase-cosine,1,pitch,tlog_cel,0.7347357656592968,0.26110768835781384,8192,32,256
phrase-cosine,2,pitch,waveform_l1,0.020309091861368263,0.2622905246469567,8192,32,256
phrase-cosine,2,pitch,waveform_mse,0.012182587607497204,0.2575700740882249,8192,32,256
phrase-cosine,2,pitch,single_stft,0.08405800410752182,0.4294002714956135,8192,32,256
phrase-cosine,2,pitch,mss,0.017510632567174104,0.2741031736483853,8192,32,256
phrase-cosine,2,pitch,smooth_mss,0.06274499884146113,0.2946269791203319,8192,32,256
phrase-cosine,2,pitch,sot_published_composite,0.0335573169098324,0.24531263551627377,8192,32,256
phrase-cosine,2,pitch,sot_no_cut,-0.012353015862216927,0.24375062813643852,8192,32,256
phrase-cosine,2,pitch,linear_jtfot,0.03379632426424525,0.2860717420809015,8192,32,256
phrase-cosine,2,pitch,log_jtfot,0.13393772821615396,0.3229500623622993,8192,32,256
phrase-cosine,2,pitch,cel,0.44814588835424196,0.31442262300360335,8192,32,256
phrase-cosine,2,pitch,log_cel,0.49710037451444383,0.30523924383811346,8192,32,256
phrase-cosine,2,pitch,dec_cel,0.5151967512620677,0.31724000643223194,8192,32,256
phrase-cosine,2,pitch,tlog_cel,0.4272589676354797,0.26367675336600893,8192,32,256
phrase-cosine,4,pitch,waveform_l1,0.008821160001726306,0.2092666821468453,8192,32,256
phrase-cosine,4,pitch,waveform_mse,0.008008816542565635,0.20771812985081364,8192,32,256
phrase-cosine,4,pitch,single_stft,0.029574353272202362,0.24725801301058717,8192,32,256
phrase-cosine,4,pitch,mss,0.02066533028379367,0.23049757861850098,8192,32,256
phrase-cosine,4,pitch,smooth_mss,0.02523184978315803,0.22750568490520545,8192,32,256
phrase-cosine,4,pitch,sot_published_composite,0.022526809928214226,0.20804514366509988,8192,32,256
phrase-cosine,4,pitch,sot_no_cut,-0.004106427091943191,0.2202860252947884,8192,32,256
phrase-cosine,4,pitch,linear_jtfot,0.012456658771965215,0.22001590977644514,8192,32,256
phrase-cosine,4,pitch,log_jtfot,0.05400707248130514,0.2277797929156238,8192,32,256
phrase-cosine,4,pitch,cel,0.23945856628885054,0.25856411407269,8192,32,256
phrase-cosine,4,pitch,log_cel,0.27646221357759865,0.2537776616559202,8192,32,256
phrase-cosine,4,pitch,dec_cel,0.31623976006232357,0.2758236833216183,8192,32,256
phrase-cosine,4,pitch,tlog_cel,0.250736248602829,0.2230824678069401,8192,32,256
phrase-cosine,1,time,waveform_l1,0.023282229161789195,0.9181853887560223,8192,32,256
phrase-cosine,1,time,waveform_mse,0.04863410097884156,0.9337689311736577,8192,32,256
phrase-cosine,1,time,single_stft,0.6216767867800064,0.600541417766048,8192,32,256
phrase-cosine,1,time,mss,0.001596778503481801,0.9390533781003106,8192,32,256
phrase-cosine,1,time,smooth_mss,0.05040491273040399,0.9287682395075022,8192,32,256
phrase-cosine,1,time,sot_published_composite,-0.01172360999876347,0.9989559960497838,8192,32,256
phrase-cosine,1,time,sot_no_cut,-0.009970727327905852,0.9991830103649787,8192,32,256
phrase-cosine,1,time,linear_jtfot,0.08298729448201092,0.918451451642141,8192,32,256
phrase-cosine,1,time,log_jtfot,0.2377785742969772,0.8509253152756298,8192,32,256
phrase-cosine,1,time,cel,0.9597995396028787,0.16311929786189863,8192,32,256
phrase-cosine,1,time,log_cel,0.9580557450214686,0.1639990185207999,8192,32,256
phrase-cosine,1,time,dec_cel,0.8803068520753161,0.3753199213863978,8192,32,256
phrase-cosine,1,time,tlog_cel,0.9681664926367688,0.0629125503206273,8192,32,256
phrase-cosine,2,time,waveform_l1,0.00949000114297132,0.5704385132978104,8192,32,256
phrase-cosine,2,time,waveform_mse,0.012529939872049027,0.5709145500861416,8192,32,256
phrase-cosine,2,time,single_stft,0.16803257946443814,0.5645454349965293,8192,32,256
phrase-cosine,2,time,mss,0.013832712897925767,0.6963602910068261,8192,32,256
phrase-cosine,2,time,smooth_mss,0.055314857378548646,0.5998061692621893,8192,32,256
phrase-cosine,2,time,sot_published_composite,-0.003788479178951459,0.6684039417938031,8192,32,256
phrase-cosine,2,time,sot_no_cut,-0.014478582141554022,0.674882856792734,8192,32,256
phrase-cosine,2,time,linear_jtfot,0.05379801174243467,0.6527546217794784,8192,32,256
phrase-cosine,2,time,log_jtfot,0.12702931587255975,0.62504583439918,8192,32,256
phrase-cosine,2,time,cel,0.5376607156394442,0.4670027918896682,8192,32,256
phrase-cosine,2,time,log_cel,0.5414927827875279,0.4649380503457557,8192,32,256
phrase-cosine,2,time,dec_cel,0.5266744540444944,0.5021726545303451,8192,32,256
phrase-cosine,2,time,tlog_cel,0.5779892788905738,0.41528761946368914,8192,32,256
phrase-cosine,4,time,waveform_l1,0.00461187425427201,0.38065648373690364,8192,32,256
phrase-cosine,4,time,waveform_mse,0.0014489458651829401,0.3806250707934214,8192,32,256
phrase-cosine,4,time,single_stft,0.0426762083145721,0.4212925955092806,8192,32,256
phrase-cosine,4,time,mss,0.0036638349862304328,0.4639895126772323,8192,32,256
phrase-cosine,4,time,smooth_mss,0.028156394673225622,0.40335775804143226,8192,32,256
phrase-cosine,4,time,sot_published_composite,-0.007275598327163681,0.4418443799230828,8192,32,256
phrase-cosine,4,time,sot_no_cut,-0.0035070824580429724,0.44905381085069,8192,32,256
phrase-cosine,4,time,linear_jtfot,0.024149526015709674,0.4505752861315556,8192,32,256
phrase-cosine,4,time,log_jtfot,0.05038893318445081,0.44596275948032826,8192,32,256
phrase-cosine,4,time,cel,0.27859523186880947,0.39898533038640643,8192,32,256
phrase-cosine,4,time,log_cel,0.28998696409074887,0.39826846574493174,8192,32,256
phrase-cosine,4,time,dec_cel,0.3254874552053948,0.40008558883321577,8192,32,256
phrase-cosine,4,time,tlog_cel,0.3289008771066747,0.36871346028856433,8192,32,256
