events,condition,candidates_per_target,targets,loss,metric,mean,sd,median
2,pitch,512,32,linear_jtfot,both_directed,0.6307373046875,0.08338470311310567,0.62939453125
2,pitch,512,32,log_jtfot,both_directed,0.65301513671875,0.10626393105602056,0.6630859375
2,pitch,512,32,bidirectional_cumulative_energy,both_directed,0.7681884765625,0.1142444166266622,0.74853515625
2,pitch,512,32,log_quadrature_bicul,both_directed,0.77764892578125,0.1116199479030683,0.76513671875
2,pitch,512,32,fading,both_directed,0.83209228515625,0.11410543431896304,0.8310546875
2,pitch,512,32,waveform_l1,pitch_directed,0.5875244140625,0.11432409559424017,0.55859375
2,pitch,512,32,waveform_mse,pitch_directed,0.559112548828125,0.19412314033619893,0.55419921875
2,pitch,512,32,single_stft,pitch_directed,0.65753173828125,0.0962155694191175,0.65478515625
2,pitch,512,32,linear_mss,pitch_directed,0.68994140625,0.07181895935007007,0.6923828125
2,pitch,512,32,smooth_mss,pitch_directed,0.775421142578125,0.08358212155232005,0.7744140625
2,pitch,512,32,sot_published_composite,pitch_directed,0.7576904296875,0.10753743955606171,0.76171875
2,pitch,512,32,linear_jtfot,pitch_directed,0.703399658203125,0.06260683557654277,0.7041015625
2,pitch,512,32,log_jtfot,pitch_directed,0.741668701171875,0.06224104085430652,0.75537109375
2,pitch,512,32,bidirectional_cumulative_energy,pitch_directed,0.858367919921875,0.07399602998387518,0.8701171875
2,pitch,512,32,log_quadrature_bicul,pitch_directed,0.86846923828125,0.0712255716895688,0.87841796875
2,pitch,512,32,fading,pitch_directed,0.901031494140625,0.082550741935078,0.93798828125
2,pitch,512,32,waveform_l1,time_directed,0.55294310348113,0.2053949131660865,0.6402116402116402
2,pitch,512,32,waveform_mse,time_directed,0.560188478049859,0.2352128579238824,0.6767241379310345
2,pitch,512,32,single_stft,time_directed,0.6357496403440174,0.2366318674402453,0.6304347826086957
2,pitch,512,32,linear_mss,time_directed,0.6144101519983406,0.2948891578974122,0.7666666666666667
2,pitch,512,32,smooth_mss,time_directed,0.5822361936667303,0.25977679131735043,0.7068965517241379
2,pitch,512,32,sot_published_composite,time_directed,0.5376563991112395,0.3102303354667085,0.5
2,pitch,512,32,linear_jtfot,time_directed,0.49678677468482135,0.20210220828900424,0.5
2,pitch,512,32,log_jtfot,time_directed,0.4689836700420515,0.20147539889027327,0.4580152671755725
2,pitch,512,32,bidirectional_cumulative_energy,time_directed,0.5425536236721917,0.17031866054611944,0.5287610619469026
2,pitch,512,32,log_quadrature_bicul,time_directed,0.5406472009682098,0.16993979449708368,0.5342465753424658
2,pitch,512,32,fading,time_directed,0.6569401467426765,0.1866696883390899,0.6348684210526315
2,pitch,512,32,waveform_l1,dot_directed,0.59759521484375,0.11229275376527303,0.5849609375
2,pitch,512,32,waveform_mse,dot_directed,0.573089599609375,0.17270727098361063,0.5546875
2,pitch,512,32,single_stft,dot_directed,0.680328369140625,0.09398387633950295,0.662109375
2,pitch,512,32,linear_mss,dot_directed,0.709503173828125,0.10267562561991508,0.7158203125
2,pitch,512,32,smooth_mss,dot_directed,0.779632568359375,0.10604024936221979,0.78857421875
2,pitch,512,32,sot_published_composite,dot_directed,0.748291015625,0.13672527526190908,0.74609375
2,pitch,512,32,linear_jtfot,dot_directed,0.687042236328125,0.0709774541449226,0.68505859375
2,pitch,512,32,log_jtfot,dot_directed,0.710205078125,0.08051794539296776,0.72119140625
2,pitch,512,32,bidirectional_cumulative_energy,dot_directed,0.8421630859375,0.07011347121660552,0.8388671875
2,pitch,512,32,log_quadrature_bicul,dot_directed,0.850616455078125,0.06927067737128476,0.849609375
2,pitch,512,32,fading,dot_directed,0.906585693359375,0.067418920286606,0.90966796875
2,pitch,512,32,waveform_l1,cosine,0.030408523832712617,0.09590668939913329,0.040281616470074486
2,pitch,512,32,waveform_mse,cosine,0.031651797420065894,0.11035651997523183,0.055312596483860985
2,pitch,512,32,single_stft,cosine,0.2353476156770711,0.11953803123071116,0.22074245146456634
2,pitch,512,32,linear_mss,cosine,0.14371281509824552,0.13558917074480448,0.1519693984587134
2,pitch,512,32,smooth_mss,cosine,0.1815746987784861,0.12449942628181618,0.18863942478532897
2,pitch,512,32,sot_published_composite,cosine,-0.0012291822987085047,0.12755163862622357,0.001348317001123327
2,pitch,512,32,linear_jtfot,cosine,0.09565097186815422,0.08614766038367246,0.09648158583862271
2,pitch,512,32,log_jtfot,cosine,0.14527954097653487,0.08968947206052821,0.14344330970239821
2,pitch,512,32,bidirectional_cumulative_energy,cosine,0.48644939420964495,0.13220157987650466,0.4811020258262273
2,pitch,512,32,log_quadrature_bicul,cosine,0.5002984823831971,0.13604686223819548,0.4901008124227296
2,pitch,512,32,fading,cosine,0.5337029180590778,0.10953285289342274,0.5307417765355515
2,pitch,512,32,waveform_l1,phrase_success,0.3062744140625,0.1312283569867541,0.2880859375
2,pitch,512,32,waveform_mse,phrase_success,0.298583984375,0.2060707364803704,0.255859375
2,pitch,512,32,single_stft,phrase_success,0.400634765625,0.12229477850212914,0.375
2,pitch,512,32,linear_mss,phrase_success,0.437744140625,0.1174557476717628,0.4169921875
2,pitch,512,32,smooth_mss,phrase_success,0.552978515625,0.15374500153482812,0.52734375
2,pitch,512,32,sot_published_composite,phrase_success,0.53826904296875,0.17348470358688295,0.50390625
2,pitch,512,32,linear_jtfot,phrase_success,0.4144287109375,0.0898895361012752,0.4052734375
2,pitch,512,32,log_jtfot,phrase_success,0.4521484375,0.12301636926639023,0.4462890625
2,pitch,512,32,bidirectional_cumulative_energy,phrase_success,0.61956787109375,0.1634054430841664,0.587890625
2,pitch,512,32,log_quadrature_bicul,phrase_success,0.63812255859375,0.15761846738619611,0.6064453125
2,pitch,512,32,fading,phrase_success,0.74029541015625,0.1697363712519995,0.7490234375
2,pitch,512,32,waveform_l1,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,waveform_mse,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,single_stft,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,linear_mss,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,smooth_mss,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,sot_published_composite,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,linear_jtfot,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,log_jtfot,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,bidirectional_cumulative_energy,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,log_quadrature_bicul,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,fading,zero_gradient,0.0,0.0,0.0
2,pitch,512,32,waveform_l1,original_coordinate_drift,0.9959690620121677,0.0015631880887120608,0.996337305982713
2,pitch,512,32,waveform_mse,original_coordinate_drift,0.9980609329870471,0.0008940170171712387,0.9982108806218697
