profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_030_lw,↘ ↖ ↙ ↑ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_031,↗ ↘ ↖ ↙ ↑,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_031_lw,↗ ↘ ↖ ↙ ↑ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_032,↓,99.51612903225806,2.332615374340477
structured,isolated_pitch,pitch_directed,cel8_032_lw,↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_033,↗ ↓,97.35344453349362,0.16993087557603814
structured,isolated_pitch,pitch_directed,cel8_033_lw,↗ ↓ + LW,99.2180925666199,2.0345789087023225
structured,isolated_pitch,pitch_directed,cel8_034,↘ ↓,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_034_lw,↘ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_035,↗ ↘ ↓,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_035_lw,↗ ↘ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_036,↖ ↓,96.45233086221867,-0.7311827956989231
structured,isolated_pitch,pitch_directed,cel8_036_lw,↖ ↓ + LW,98.94810659186535,1.7645929339477702
structured,isolated_pitch,pitch_directed,cel8_037,↗ ↖ ↓,96.69964269017565,-0.48387096774193394
structured,isolated_pitch,pitch_directed,cel8_037_lw,↗ ↖ ↓ + LW,98.94810659186535,1.7645929339477702
structured,isolated_pitch,pitch_directed,cel8_038,↘ ↖ ↓,97.45137080077473,0.2678571428571447
structured,isolated_pitch,pitch_directed,cel8_038_lw,↘ ↖ ↓ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_039,↗ ↘ ↖ ↓,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_039_lw,↗ ↘ ↖ ↓ + LW,99.29873772791025,2.1152240699926494
structured,isolated_pitch,pitch_directed,cel8_040,↙ ↓,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_040_lw,↙ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_041,↗ ↙ ↓,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_041_lw,↗ ↙ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_042,↘ ↙ ↓,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_042_lw,↘ ↙ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_043,↗ ↘ ↙ ↓,97.7998731049222,0.616359447004608
structured,isolated_pitch,pitch_directed,cel8_043_lw,↗ ↘ ↙ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_044,↖ ↙ ↓,97.44273024777934,0.2592165898617521
structured,isolated_pitch,pitch_directed,cel8_044_lw,↖ ↙ ↓ + LW,99.109396914446,1.925883256528413
structured,isolated_pitch,pitch_directed,cel8_045,↗ ↖ ↙ ↓,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_045_lw,↗ ↖ ↙ ↓ + LW,99.19004207573632,2.00652841781874
structured,isolated_pitch,pitch_directed,cel8_046,↘ ↖ ↙ ↓,97.71058739063648,0.5270737327188968
structured,isolated_pitch,pitch_directed,cel8_046_lw,↘ ↖ ↙ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_047,↗ ↘ ↖ ↙ ↓,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_047_lw,↗ ↘ ↖ ↙ ↓ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_048,↑ ↓,98.91738462565952,1.733870967741935
structured,isolated_pitch,pitch_directed,cel8_048_lw,↑ ↓ + LW,99.91935483870968,2.7358411807920895
structured,isolated_pitch,pitch_directed,cel8_049,↗ ↑ ↓,97.35344453349362,0.16993087557603814
structured,isolated_pitch,pitch_directed,cel8_049_lw,↗ ↑ ↓ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_050,↘ ↑ ↓,98.98383757430041,1.8003239163828177
structured,isolated_pitch,pitch_directed,cel8_050_lw,↘ ↑ ↓ + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_051,↗ ↘ ↑ ↓,97.53201596206505,0.3485023041474661
