loss,label,cardinality,target_index,target_id,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,initial_loss,reported_loss,terminal_loss,updates,stopped_by,lr_reductions,target_f0_hz,target_onset_seconds,reported_f0_hz,reported_onset_seconds
single_stft,SS,1,0,C01-T0000,699.1346328252978,0.49487367381528813,11.672577253820524,0.3225700268490487,0.2671655575269485,0.26716768597257706,1577,patience,6,[99.50133576815546],[0.53273515283798],[149.0090538995035],[0.5332300265117953]
single_stft,SS,1,1,C01-T0001,9.242073772952608e-09,7.34012850500676e-09,2.111040964023154e-07,0.239736277260507,3.331404713833893e-11,1.875533249065742e-09,6709,patience,22,[122.56808115363822],[1.102682798990189],[122.5680811529839],[1.1026827989975292]
single_stft,SS,1,2,C01-T0002,945.2614703378642,0.5643564737318751,11.07812626783057,0.268356069317512,0.2283376625870474,0.2283491771030906,1080,patience,4,[97.00043415049221],[1.1343577413365944],[167.4558760763048],[1.1349220978103263]
single_stft,SS,1,3,C01-T0003,1199.2383397521774,0.875476668108055,11.817124042891983,0.18014677150799097,0.11501557390410606,0.11502534594906415,1108,patience,4,[283.1408807201963],[0.7115055896688369],[141.63273829141278],[0.7106301130007289]
single_stft,SS,1,4,C01-T0004,7.030727733337017e-06,2.2391886456141208e-05,0.000263389862679048,0.17991721282402856,4.691570750171481e-08,1.9894634378123002e-07,4409,patience,15,[166.48381761444693],[0.5699007090407807],[166.48381829055563],[0.5699007314326672]
single_stft,SS,1,5,C01-T0005,0.01828913685431033,0.0041670784776681735,0.03218799920489662,0.21749110462403204,3.439477622704085e-05,0.0006868738167156114,1475,patience,4,[205.61331967422458],[0.3200278414782974],[205.61549182998132],[0.32003200855677505]
single_stft,SS,1,6,C01-T0006,1.6564882798775216e-08,8.652523142416157e-08,2.1885315270572615e-06,0.18877360242410654,1.5936699158332468e-10,5.607935192820508e-10,6524,patience,22,[258.05672008976677],[0.6870062741940339],[258.0567200872976],[0.6870062742805592]
single_stft,SS,1,7,C01-T0007,3.414295512982335e-08,2.3240076529873477e-08,9.582938077289865e-07,0.23625336442411327,1.0615164048608238e-10,1.5320655770961506e-09,7027,patience,22,[127.46415383220908],[1.1730540907591898],[127.4641538347229],[1.1730540907824298]
single_stft,SS,1,8,C01-T0008,1199.129222672434,1.1166863051794707,7.446387470150347,0.20382169616955398,0.07303170218698453,0.0730359075644623,1109,patience,4,[108.25275993421286],[1.6906915448447368],[216.39664915100536],[1.6918082311499163]
single_stft,SS,1,9,C01-T0009,1197.8791410672125,0.5816992608584926,8.866942239157323,0.16987194796625416,0.08275836233281496,0.0827719631195251,1044,patience,4,[291.1297363200391],[1.4175923764349194],[145.74330257192264],[1.417010677174061]
single_stft,SS,1,10,C01-T0010,0.001848336463883271,6.155167397992045e-05,0.0024716148543446463,0.1697791817423879,2.8246059701709824e-06,5.4282540350618525e-06,2763,patience,10,[165.35940469236309],[1.599495243136438],[165.3595812369387],[1.599495181584764]
single_stft,SS,1,11,C01-T0011,6.39631014820452e-08,3.8233194388226366e-08,1.8396833054843297e-06,0.18420210086844707,1.8357474417442808e-10,9.405739320133447e-10,6293,patience,22,[146.1583653003859],[1.198641834850222],[146.15836529498586],[1.198641834888455]
single_stft,SS,1,12,C01-T0012,1.5232623162830805e-06,2.4481527916009327e-08,1.1823512800692087e-06,0.17444871892227207,2.9249816289672274e-09,6.18246750779615e-08,4768,patience,17,[151.26536131164124],[1.3933820058444326],[151.26536144473522],[1.393382005819951]
single_stft,SS,1,13,C01-T0013,1198.9623869834347,0.7415491929803064,8.027237825211497,0.2199999150645199,0.08928596571535749,0.08928985848647679,1134,patience,4,[98.43465904269209],[1.6313537362156287],[196.75136005214807],[1.632095285408609]
single_stft,SS,1,14,C01-T0014,8.944618379302938e-08,5.2166215791515924e-08,1.3532664693990057e-06,0.2684622288131059,2.891017881014292e-10,1.6315787854772281e-09,6617,patience,22,[130.05953104940846],[0.2809470202682709],[130.05953105612815],[0.2809470203204371]
single_stft,SS,1,15,C01-T0015,2.0949404877512734e-06,7.645129196376388e-06,8.315226550535248e-05,0.19757154643058314,1.439919295946468e-08,2.076454656117814e-08,4686,patience,18,[212.67786521543712],[1.275406671568399],[212.67786547279545],[1.2754066639232697]
single_stft,SS,1,16,C01-T0016,2.7286439774343307e-08,1.1982137504418233e-08,2.650984115722958e-07,0.20418034431965235,7.649390241527928e-11,9.440537126314934e-10,6307,patience,22,[152.62280550927903],[0.3995557744988149],[152.62280551168456],[0.39955577448683277]
single_stft,SS,1,17,C01-T0017,3.303099127549558e-07,4.801709030388679e-08,1.2917745929319717e-06,0.20369422609185794,5.353996121869675e-10,3.5151442786966123e-09,6003,patience,20,[228.4312772608484],[0.4326154909096869],[228.43127721726492],[0.4326154908616698]
single_stft,SS,1,18,C01-T0018,7.2872374801136175e-09,1.1182166304024577e-09,1.849353579792928e-08,0.2116196449141477,1.4106459700639873e-11,2.0128429345957496e-09,6144,patience,22,[185.20912647258203],[0.6455829320714281],[185.20912647336164],[0.6455829320703099]
single_stft,SS,1,19,C01-T0019,8.950173935318162e-10,3.0684343954590076e-09,3.505598959382752e-08,0.19263863103958925,5.532075019511952e-12,6.913439894974303e-10,6821,patience,22,[246.72239898919142],[0.548479927899949],[246.722398989319],[0.5484799278968806]
single_stft,SS,1,20,C01-T0020,699.1628410111069,0.18366339667452714,9.15463516514603,0.18009870246500956,0.11706365080567428,0.11707850124021056,1174,patience,4,[251.59810861129978],[1.3779011137376127],[168.00281143951568],[1.3777174503409382]
single_stft,SS,1,21,C01-T0021,1.3522396535847747e-07,9.27313781318162e-08,1.9522942649175064e-06,0.13762040297883676,3.965400244213156e-10,2.1467144113846726e-09,6445,patience,22,[148.8587853285157],[1.010427114530064],[148.85878531688857],[1.0104271144373327]
single_stft,SS,1,22,C01-T0022,713.780821132647,0.4329866001258065,11.05443031517164,0.29236441469328567,0.2500233980636529,0.2500660463556324,1099,patience,4,[97.81917128491871],[0.8343730752587901],[147.73447180452675],[0.8348060618589159]
single_stft,SS,1,23,C01-T0023,1196.0863653002662,1.1343295184313984,9.621524901757478,0.15601150723397852,0.0911518068330686,0.09149914431067102,1053,patience,4,[302.82110017788364],[1.2240297698579472],[151.75321656209582],[1.2228954403395158]
single_stft,SS,1,24,C01-T0024,701.3478553863126,0.372905454608885,9.417865348571809,0.25505501232406075,0.19375644565444244,0.1938088503145073,1118,patience,4,[101.72710970000972],[1.3071934031075314],[152.5371602368455],[1.3075663085621403]
single_stft,SS,1,25,C01-T0025,6.099227789491124e-08,1.2145839889399213e-10,2.5902180591759293e-08,0.18185906555782863,7.876056638897318e-11,1.2377395340624652e-09,5771,patience,22,[191.4464529620043],[1.6751649022773827],[191.44645295525953],[1.6751649022775041]
