loss,label,cardinality,metric,n,mean,sample_std,q1,median,q3
single_stft,SS,1,pitch_mae_cents,150,454.1452784476006,508.32966430801304,6.411494668512319e-08,22.58409130716177,939.3270213038438
single_stft,SS,1,onset_mae_ms,150,47.01331093576279,252.6658957589655,3.3000380206260616e-08,0.006383827827249888,0.6867433436663489
single_stft,SS,1,log_spectral_distance_db,150,5.562699936145935,5.891812797812886,9.676201841624978e-07,3.1354587984978473,10.90457654409087
single_stft,SS,2,pitch_mae_cents,150,524.5404197473907,324.97891378917234,350.2731325374727,545.7289464566082,701.6441253821586
single_stft,SS,2,onset_mae_ms,150,154.14740180181502,220.98017411307387,0.22052607730773527,1.8939356240825767,275.938168634949
single_stft,SS,2,log_spectral_distance_db,150,11.377001484053253,5.8366637383862505,8.261777116282195,11.993592439325766,16.005250651103275
single_stft,SS,4,pitch_mae_cents,150,495.9697355414345,226.50371649765106,300.3557325661539,497.538390822134,654.59825747723
single_stft,SS,4,onset_mae_ms,150,175.18599557243283,123.73843896658326,70.31590302768487,166.78918391858025,266.65704949195714
single_stft,SS,4,log_spectral_distance_db,150,14.852359729812578,4.175236741972731,12.532764079718369,15.061239863461743,17.91032177261234
single_stft,SS,6,pitch_mae_cents,150,475.627361598178,174.62421092384938,351.0101652853082,452.6861877225212,569.4860108888521
single_stft,SS,6,onset_mae_ms,150,183.3263078484853,82.75247573897792,125.43121088530872,183.66472256473418,237.095555206539
single_stft,SS,6,log_spectral_distance_db,150,17.167785190655813,3.11673999415015,14.970506848696306,17.235705142007475,19.421892145630594
single_stft,SS,8,pitch_mae_cents,150,447.2111283893632,153.2895036935158,338.4453508376583,434.53916454988257,548.1827120275901
single_stft,SS,8,onset_mae_ms,150,175.20653483641595,77.12556846875327,119.97439719725612,165.0030094421906,219.16047163416067
single_stft,SS,8,log_spectral_distance_db,150,17.908586943830755,3.5486345326997264,15.609364430125334,18.37583190199343,20.46974116271734
