cardinality,target_index,log_spectral_distance_db
2,120,22.016764611928693
2,121,22.148783370602295
2,122,26.55614130036166
2,123,22.68796589066893
2,124,23.749235084071834
2,125,22.964639079580124
2,126,25.68046004545278
2,127,16.324403526458145
2,128,24.071338784250198
2,129,25.65123639286743
2,130,24.169183702823343
2,131,22.95205765663487
2,132,23.50490400285437
2,133,25.456272375630828
2,134,21.744661778303204
2,135,20.163546014772002
2,136,23.310956215064625
2,137,24.072338002504114
2,138,21.532245987347547
2,139,19.686931244639304
2,140,27.34362946666585
2,141,25.007151689527372
2,142,23.47572283461938
2,143,20.663780704066852
2,144,27.49187283864159
2,145,24.828695809700875
2,146,27.89042511531948
2,147,29.234680159980083
2,148,22.002302461933745
2,149,28.14709169609769
4,0,26.12940186283995
4,1,25.27126376928682
4,2,30.880968753982586
4,3,29.502760443199616
4,4,25.732903658135996
4,5,29.823674366410017
4,6,26.891281332619705
4,7,28.60907073914681
4,8,28.868087118454827
4,9,26.855564778433745
4,10,31.359371755694447
4,11,30.440416419206805
4,12,25.6177827710703
4,13,25.71387575433911
4,14,25.56525002855558
4,15,29.247712679027718
4,16,22.474434143223522
4,17,27.164900883712345
4,18,27.307843368152128
4,19,29.95339488580071
4,20,29.577615124517067
4,21,28.146013151776252
4,22,27.273742641634982
4,23,27.116727930081236
4,24,29.782111332407105
4,25,27.336638174608186
4,26,24.51191605501022
4,27,24.123192377792137
4,28,25.773617907041448
4,29,24.132810507219858
4,30,28.7251268150196
4,31,26.912830408711645
4,32,23.880759851521024
4,33,26.4849669129082
4,34,25.154548442952713
4,35,32.47958775073768
4,36,27.397209499767726
4,37,25.39294214212098
4,38,25.5942812716532
4,39,29.34409779379483
4,40,27.047862601905052
4,41,29.462789884647293
4,42,30.528948211827267
4,43,26.623105522553065
4,44,29.547660075626176
4,45,30.392352117204215
4,46,28.045733404054168
4,47,27.21363308105349
4,48,30.707651249194846
4,49,28.38103772269832
4,50,30.320032136358154
4,51,24.47141613306181
4,52,28.88602375521868
4,53,33.33603992227326
4,54,29.88132983953095
4,55,29.181979561593824
4,56,24.20164513097683
4,57,26.311198443788776
4,58,24.811134424657677
4,59,22.500226684644826
4,60,27.694702387702606
4,61,21.19183707701118
4,62,25.778506872871322
4,63,32.634430032878605
4,64,28.38500067443364
4,65,28.061803168849995
4,66,21.726359367226408
4,67,29.252518389343074
4,68,29.3815827363954
4,69,28.845350536214255
4,70,28.37003486144075
4,71,29.35241926865728
4,72,26.34982762353267
4,73,28.616808850558552
4,74,26.879034737944092
4,75,29.298565441706096
4,76,26.969207570569377
4,77,25.692056637094886
4,78,28.513279072356145
4,79,28.669366812817525
4,80,26.890745367239987
4,81,29.982668273443338
4,82,27.952644957683532
4,83,25.77735448758528
4,84,29.374616656320523
4,85,34.07901321985337
4,86,24.10377409216006
4,87,24.7706323739505
4,88,21.342956772569394
4,89,23.61368288757314
4,90,28.53429564935447
4,91,27.216043827737202
4,92,32.11559056755683
4,93,26.30087039629461
4,94,28.871300981169227
4,95,28.755502235907986
4,96,34.65807291857523
4,97,28.81258974625985
4,98,27.616751618484603
4,99,29.229519041928796
4,100,20.151763392635015
4,101,26.41871783607601
4,102,26.064408634018797
4,103,27.52459037559483
4,104,24.542514201869377
4,105,27.958903481338353
4,106,25.47547999464714
4,107,25.369929292541315
4,108,27.518582872978417
4,109,30.29628438681298
4,110,28.09438104209289
4,111,29.72792812905773
4,112,23.07635088452017
4,113,28.706441339129462
4,114,29.783870121721982
4,115,26.411799120376056
4,116,25.6854768183331
4,117,27.20226120265106
4,118,27.944773294523184
4,119,25.25310329685288
4,120,30.574165429483564
4,121,25.178032991853133
4,122,24.784938836338643
4,123,27.31051144273428
4,124,30.324665980647584
4,125,30.327776981971425
4,126,28.221905466649098
4,127,27.91205408580957
4,128,29.322807257340813
4,129,27.49576548580124
4,130,25.385042030654695
4,131,21.644188758817414
4,132,30.272141324544723
4,133,30.896138662733698
4,134,31.31803505471254
4,135,22.73876908243615
4,136,29.424281226480577
4,137,24.222534139968985
4,138,29.520703813773636
4,139,27.41669606153673
4,140,26.068373630345757
4,141,28.92054778156565
4,142,26.333506684991367
4,143,28.889914959256508
4,144,29.05370642737737
4,145,27.26186930766017
4,146,25.437896581211177
4,147,24.45905609788141
4,148,24.14660086083282
4,149,29.326865503879603
6,0,27.074071386159126
6,1,29.303517121755924
6,2,26.21072737819526
6,3,29.34439634811168
6,4,29.767346579491598
6,5,29.88377216776582
6,6,30.338387389474935
6,7,29.83631697867648
6,8,27.214826678681394
6,9,26.250322134691874
6,10,25.160397079984428
6,11,32.37547244359372
6,12,25.048318995710712
6,13,30.430419540279246
6,14,22.76709502877921
6,15,34.3255013765369
6,16,28.34445863458211
6,17,28.79342341015259
6,18,29.816225025182924
6,19,25.59475389825244
6,20,26.74625065622895
6,21,30.310655918610493
6,22,27.017026137565562
6,23,32.46270101150451
6,24,27.194620819004893
6,25,28.93375595092192
6,26,26.711654041900985
6,27,31.173979796798402
6,28,24.05033352783776
6,29,29.34195082386263
6,30,31.648724009618004
6,31,26.813303474534464
6,32,27.479164085471766
6,33,28.014308813906936
6,34,33.789658761911745
6,35,31.670040210141927
6,36,29.22963868789375
6,37,26.821475126160095
6,38,29.2544353965949
6,39,27.862730561390237
6,40,29.285407105018184
6,41,27.312150319663488
6,42,32.72039829414402
6,43,32.26083754322308
6,44,26.93347167878894
6,45,26.552976491512275
6,46,29.35587228639082
6,47,29.46659130490029
6,48,27.988494098504674
6,49,30.45880048195441
6,50,27.929094691004057
6,51,29.539173358508904
6,52,28.40494117756582
6,53,31.60359705191368
6,54,28.201371244149982
6,55,29.815601364836343
6,56,30.75633018496396
6,57,29.448598128896347
6,58,31.721352342355154
6,59,27.30358717869443
6,60,30.330781060355285
6,61,29.09075567277403
6,62,27.79853861735365
6,63,27.072936948604724
6,64,24.871875257097678
6,65,34.658510601321225
6,66,28.032724738055496
6,67,30.364284200827964
6,68,31.175551402557673
6,69,25.830526349715225
6,70,28.44540962018621
6,71,31.557256616616645
6,72,27.30529816061474
6,73,28.053405584914486
6,74,25.29014309836087
6,75,32.304713241710346
6,76,24.00460282779714
6,77,30.16759031318103
6,78,29.785449780855995
6,79,25.297883402664507
6,80,25.616098662471767
6,81,29.314928653071316
6,82,29.602433256740703
6,83,29.654444003486024
6,84,29.088085848948037
6,85,28.09599023840027
6,86,27.92357195818478
6,87,25.745859074362226
6,88,33.24747575747371
6,89,27.888290676949612
6,90,25.328554201401932
6,91,30.554437882735456
6,92,28.694483494227903
6,93,24.62325169817104
6,94,26.623952849592477
6,95,28.293477426700484
6,96,28.990675840831923
6,97,24.246177102920484
6,98,29.113772401044255
6,99,30.012700576072643
6,100,27.016682935994364
6,101,30.224539763675644
6,102,24.655048298038793
6,103,28.094897476119463
6,104,29.780699055764675
6,105,29.3911853709266
6,106,26.051918089135697
6,107,27.22246115871384
6,108,29.169183921698085
6,109,27.499306836084262
6,110,29.57116289231682
6,111,25.168481723350883
6,112,27.262208937285926
6,113,27.331957036865326
6,114,25.576279441944408
6,115,29.432714137981236
6,116,27.61140471149826
6,117,28.972605679733714
6,118,22.639191897985835
6,119,27.989710577937963
6,120,25.370993115830274
6,121,28.997390794433198
6,122,30.017182082269727
6,123,26.331394745899015
6,124,31.593206575250445
6,125,26.380362017082568
6,126,27.453951949556988
6,127,29.798429044706904
6,128,28.318422253266004
6,129,26.188361167206363
6,130,25.49636968630431
6,131,30.558092931280903
6,132,27.12935920668296
6,133,25.451431067429837
6,134,27.6667731409019
6,135,33.37206863300594
6,136,27.378376503887964
6,137,29.363384804694768
6,138,30.149327010379228
6,139,27.74828455812838
6,140,28.80212766182127
6,141,31.69301753964025
6,142,27.406174021433376
6,143,28.936131710084698
6,144,26.91042756964944
6,145,30.687316662718096
6,146,28.424645433758172
6,147,30.064162066334237
6,148,30.66695369989049
6,149,33.44624644377859
8,0,28.567469228618876
8,1,26.454770107387393
8,2,28.582282574245458
8,3,28.751261482202743
8,4,30.899119373699616
8,5,28.949464146893572
8,6,30.11586323957733
8,7,23.264972907048865
8,8,26.626081978506896
8,9,26.11396031009152
8,10,28.675589201664337
8,11,25.70354936871027
8,12,27.137031793652294
8,13,24.90734840726035
8,14,25.366612156634652
8,15,28.808666304554453
8,16,26.488462962585857
8,17,24.924369350468012
8,18,26.52870243578485
8,19,28.36685938413522
8,20,28.069408281504113
8,21,30.499586695000772
8,22,28.967895049303305
8,23,27.763518318014082
8,24,25.549237832391643
8,25,31.531139682948538
8,26,28.441344305867734
8,27,27.950858683174943
8,28,29.490386728414475
8,29,26.05320647494771
8,30,29.600807935862296
8,31,36.10922813231436
8,32,28.22061226218785
8,33,29.091509127929672
8,34,30.06443495466949
8,35,33.01960181503769
8,36,26.215301177021832
8,37,25.26889530333359
8,38,27.685204954168785
8,39,25.940357328419687
