target_id,events,mode,variant,previously_explored,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,canonical_loss,updates,stopped_by,wall_seconds,recovered
C06-T0000,6,fresh,2oct,False,346.3329122814025,145.8399390919025,0.31140490699568263,18.38118620096346,0.022756393834623016,1276,patience,96.42059058509767,False
C06-T0000,6,fresh,4oct,False,167.98222042184494,30.597849948982198,0.14747049475042265,13.919477337490067,0.008875416883293605,1187,patience,77.44509192183614,False
C06-T0008,6,plateau,1000hz,False,334.4647537840919,220.17193765899333,0.2582819136245714,18.44221059208826,0.017284135316118075,504,patience,30.00144686177373,False
C06-T0008,6,plateau,2oct,False,318.594695760877,249.96464431077808,0.2920031328448523,19.40466253123196,0.023977582669857445,1436,patience,78.1692426558584,False
C06-T0008,6,plateau,4oct,False,309.2422887415731,215.13523801228396,0.25045669396870474,17.93959298401241,0.020233169225888248,1107,patience,76.1673127207905,False
C06-T0008,6,fresh,1000hz,False,95.98690905928885,201.02805905725165,0.21890343386479552,14.760024728387409,0.014719894978114661,636,patience,42.57687402702868,False
C06-T0008,6,fresh,2oct,False,291.53728243044554,177.37473998433805,0.27795513754123863,11.348295311088487,0.010674563085573121,1379,patience,78.97428910061717,False
C06-T0008,6,fresh,4oct,False,250.72366149274362,179.56413393831016,0.27036644668827214,11.428796585099686,0.010086000787942936,1326,patience,91.84299593605101,False
C08-T0000,8,plateau,1000hz,True,15.499988860752527,49.044085830449006,0.07116261750618659,15.17651803869395,0.007513849806906784,458,patience,25.277750689536333,False
C08-T0000,8,plateau,2oct,True,0.05739899905925321,0.02929783960897714,4.734413555195973e-05,0.972931822502677,3.051110591926125e-05,1662,patience,91.88172651641071,True
C08-T0000,8,plateau,4oct,True,20.186565722263616,18.46959465241016,0.02523353774942946,6.50809614386008,0.003437574960057531,1154,patience,75.11868938803673,False
C08-T0000,8,fresh,1000hz,True,0.08423116937191606,0.025081541961902154,5.4066602658940845e-05,0.9674648644345267,2.8081210284587097e-05,3000,maximum updates,191.6701906239614,True
C08-T0000,8,fresh,2oct,True,19.774956412646326,51.41000845301116,0.04282672827861253,16.18549797730781,0.009605639998868563,1198,patience,73.66376564837992,False
C08-T0000,8,fresh,4oct,True,11.598255073666019,20.76422086249974,0.025425941228885692,5.2931381710697165,0.0019918309091791716,1580,patience,95.10736186057329,False
C08-T0004,8,plateau,1000hz,False,155.90248489558198,175.04907859748562,0.221131930382361,15.304780197491775,0.01634266863934173,1081,patience,76.40201453492045,False
C08-T0004,8,plateau,2oct,False,132.89484872443202,170.34161640873202,0.19635738903501346,13.308600859774272,0.016430481391444207,1007,patience,72.16385496407747,False
C08-T0004,8,plateau,4oct,False,109.6263281455117,170.84553643283488,0.19623517401117951,14.781264673529364,0.014670371150274718,559,patience,34.847402069717646,False
C08-T0004,8,fresh,1000hz,False,199.10486203036714,303.1923218491232,0.24529002452916082,18.900707813310376,0.019062414706051724,1388,patience,99.21482674591243,False
C08-T0004,8,fresh,2oct,False,235.9794045776465,147.77629879437154,0.217259138931618,12.714407466153927,0.010231193046988898,1271,patience,87.60369875468314,False
C08-T0004,8,fresh,4oct,False,237.72111352486405,323.51742965803896,0.2953409968854918,22.402256689026753,0.024274428244591265,1625,patience,90.75582437776029,False
