target_id,mode,variant,baseline_pitch_mae_cents,baseline_onset_mae_ms,baseline_joint_error,pitch_mae_change,onset_mae_change,joint_error_change
C04-T0005,plateau,1000hz,5.4807668356704955,70.45211720252247,0.06718529160108544,-2.266777217240331,-6.002175018937336,-0.003987175723483963
C04-T0005,plateau,2oct,5.4807668356704955,70.45211720252247,0.06718529160108544,-1.9331681121278086,-5.130206210616535,-0.004388491266214822
C04-T0005,plateau,4oct,5.4807668356704955,70.45211720252247,0.06718529160108544,2.1378766683449726,-4.495667977422343,-0.0032987993586382075
C04-T0005,fresh,1000hz,5.4807668356704955,70.45211720252247,0.06718529160108544,-1.2157012771657083,-5.952171307694698,-0.0035072773834940035
C04-T0005,fresh,2oct,5.4807668356704955,70.45211720252247,0.06718529160108544,3.6409584168366287,-6.4314560884835,-0.005402632617870558
C04-T0005,fresh,4oct,5.4807668356704955,70.45211720252247,0.06718529160108544,75.53829284650783,118.00861808560514,0.15712053909409993
C04-T0003,plateau,1000hz,42.87494861570954,101.27117801165825,0.0934508415583912,88.01601635016749,-14.633344722714469,0.03689119552583478
C04-T0003,plateau,2oct,42.87494861570954,101.27117801165825,0.0934508415583912,-14.395104222236721,-12.32901916348304,-0.013544610171369542
C04-T0003,plateau,4oct,42.87494861570954,101.27117801165825,0.0934508415583912,169.82448990222983,-22.848456879430344,0.08406136734561725
C04-T0003,fresh,1000hz,42.87494861570954,101.27117801165825,0.0934508415583912,151.2633100315654,-21.009354714911453,0.07889517540952062
C04-T0003,fresh,2oct,42.87494861570954,101.27117801165825,0.0934508415583912,133.10047782668423,262.2957907207495,0.21939556500422855
C04-T0003,fresh,4oct,42.87494861570954,101.27117801165825,0.0934508415583912,-42.874654849692455,-101.27103676337006,-0.09345066822868041
C04-T0007,plateau,1000hz,489.88686955675024,216.16919850109645,0.3964155557351815,-14.403673482829106,-72.413661693373,-0.0023109408708351653
C04-T0007,plateau,2oct,489.88686955675024,216.16919850109645,0.3964155557351815,-13.585312515520457,-69.14800661085476,-0.009572332214779211
C04-T0007,plateau,4oct,489.88686955675024,216.16919850109645,0.3964155557351815,-7.457185780186933,-70.35856031178977,-0.011685103023918453
C04-T0007,fresh,1000hz,489.88686955675024,216.16919850109645,0.3964155557351815,-286.8483203598211,-208.40355114917227,-0.23607006826813626
C04-T0007,fresh,2oct,489.88686955675024,216.16919850109645,0.3964155557351815,-221.46745868538449,-211.72859032354378,-0.1767415648768895
C04-T0007,fresh,4oct,489.88686955675024,216.16919850109645,0.3964155557351815,-275.11492348137733,-208.18349912314446,-0.22026322828544528
C06-T0000,plateau,1000hz,201.5390969175243,121.81740032519474,0.21606180907427142,-17.250459952701732,-2.2657467147502786,-0.006328204438188656
C06-T0000,plateau,2oct,201.5390969175243,121.81740032519474,0.21606180907427142,3.0403211199920293,-10.084827189421773,0.0070822622000801805
C06-T0000,plateau,4oct,201.5390969175243,121.81740032519474,0.21606180907427142,19.143521028992097,-3.6782905067117184,0.015717582711435973
C06-T0000,fresh,1000hz,201.5390969175243,121.81740032519474,0.21606180907427142,-129.79449431866283,-120.50903634700464,-0.1675056820974176
C06-T0000,fresh,2oct,201.5390969175243,121.81740032519474,0.21606180907427142,144.79381536387822,24.022538766707754,0.09534309792141121
C06-T0000,fresh,4oct,201.5390969175243,121.81740032519474,0.21606180907427142,-33.55687649567935,-91.21955037621254,-0.06859131432384877
C06-T0008,plateau,1000hz,310.8598838027,216.15059496405954,0.23973662217600117,23.604869981391914,4.021342694933793,0.018545291448570256
