scope,mode,variant,metric,n,mean,std,median,recovered
all_seven,plateau,1000hz,pitch_mae_cents,7,185.67771645192533,169.44436214164404,155.90248489558198,0
all_seven,plateau,1000hz,onset_mae_ms,7,122.66572399680354,61.6619641648556,119.55165361044446,0
all_seven,plateau,1000hz,joint_event_error,7,0.19256497628219651,0.11647158873115462,0.20973360463608276,0
all_seven,plateau,1000hz,log_spectral_distance_db,7,13.869365527319982,2.688575252548853,13.164944337052084,0
all_seven,plateau,1000hz,updates,7,570.2857142857143,312.9332805810819,481.0,0
all_seven,plateau,1000hz,wall_seconds,7,35.291789221710395,22.14550694026991,26.636164097115397,0
all_seven,plateau,2oct,pitch_mae_cents,7,166.35076595430425,180.2753363893977,132.89484872443202,1
all_seven,plateau,2oct,onset_mae_ms,7,119.05048477503068,80.1711954807801,111.73257313577297,1
all_seven,plateau,2oct,joint_event_error,7,0.17729974179029484,0.13756517671290058,0.19635738903501346,1
all_seven,plateau,2oct,log_spectral_distance_db,7,12.830382727786226,5.800734130315263,13.910998458044867,1
all_seven,plateau,2oct,updates,7,990.0,428.3440984380042,895.0,1
all_seven,plateau,2oct,wall_seconds,7,56.5657145170761,24.193198053120216,49.711355747655034,1
all_seven,plateau,4oct,pitch_mae_cents,7,194.64079519348326,168.12656981015004,212.69943851793937,0
all_seven,plateau,4oct,onset_mae_ms,7,116.11132678037809,67.27751022864693,118.13910981848302,0
all_seven,plateau,4oct,joint_event_error,7,0.18997627876753428,0.12011654128439489,0.19623517401117951,0
all_seven,plateau,4oct,log_spectral_distance_db,7,12.64011283819856,3.839540228892599,13.569871715919634,0
all_seven,plateau,4oct,updates,7,825.8571428571429,305.58110138522886,866.0,0
all_seven,plateau,4oct,wall_seconds,7,52.11776468477079,21.93769348101906,55.61023283936083,0
all_seven,fresh,1000hz,pitch_mae_cents,7,109.7660683229426,89.99620947676651,95.98690905928885,1
all_seven,fresh,1000hz,onset_mae_ms,7,94.01160613857509,116.28614918871301,64.49994589482777,1
