scope,state,variant,metric,n,mean,std,median,better,worse,tied,recovered
all_seven,own_best,unfaded,pitch_mae_cents,7,175.01597722115167,147.19487782088083,153.79628281835932,0,0,7,0
all_seven,own_best,unfaded,onset_mae_ms,7,118.13701803579686,73.22092548520891,114.19553640417871,0,0,7,0
all_seven,own_best,unfaded,joint_event_error,7,0.16462139501014053,0.08623377299900294,0.13132684792192167,0,0,7,0
all_seven,own_best,unfaded,log_spectral_distance_db,7,16.503117318030167,5.523065855836239,17.36068550893155,0,0,7,0
all_seven,own_best,static_time,pitch_mae_cents,7,118.31055017121899,62.40291665052832,151.50132910996894,5,2,0,1
all_seven,own_best,static_time,onset_mae_ms,7,123.75685991069527,72.08592830790194,131.21976908714035,4,3,0,1
all_seven,own_best,static_time,joint_event_error,7,0.1648965742209772,0.0856442130097578,0.19481994129601263,5,2,0,1
all_seven,own_best,static_time,log_spectral_distance_db,7,10.742714328503336,6.023090745730839,11.377087288849197,5,2,0,1
all_seven,common_best,unfaded,pitch_mae_cents,7,175.01597722115167,147.19487782088083,153.79628281835932,0,0,7,0
all_seven,common_best,unfaded,onset_mae_ms,7,118.13701803579686,73.22092548520891,114.19553640417871,0,0,7,0
all_seven,common_best,unfaded,joint_event_error,7,0.16462139501014053,0.08623377299900294,0.13132684792192167,0,0,7,0
all_seven,common_best,unfaded,log_spectral_distance_db,7,16.503117318030167,5.523065855836239,17.36068550893155,0,0,7,0
all_seven,common_best,static_time,pitch_mae_cents,7,117.71992610973136,67.99651744083405,121.09771764862138,5,2,0,1
all_seven,common_best,static_time,onset_mae_ms,7,125.90433684439311,72.61397976536695,140.94526497273134,4,3,0,1
all_seven,common_best,static_time,joint_event_error,7,0.16665890349320275,0.08633358947529886,0.20944835577325857,5,2,0,1
all_seven,common_best,static_time,log_spectral_distance_db,7,11.2556598167799,6.279074263416394,12.81045777259037,5,2,0,1
all_seven,last,unfaded,pitch_mae_cents,7,182.01056318691738,147.6452852699926,155.33122522118043,0,0,7,0
all_seven,last,unfaded,onset_mae_ms,7,119.68165006614251,73.555188298627,114.13889862835418,0,0,7,0
all_seven,last,unfaded,joint_event_error,7,0.16666626845234012,0.08640618345193342,0.13132557336931205,0,0,7,0
all_seven,last,unfaded,log_spectral_distance_db,7,16.869654345402886,5.9837900027769955,17.36220487607662,0,0,7,0
all_seven,last,static_time,pitch_mae_cents,7,117.13128483649572,61.5930646888306,149.5952212516446,5,2,0,1
all_seven,last,static_time,onset_mae_ms,7,129.49212293006624,74.76204129281834,170.28169175509478,4,3,0,1
all_seven,last,static_time,joint_event_error,7,0.16948016091494902,0.08680236520465291,0.2117332333232066,4,3,0,1
all_seven,last,static_time,log_spectral_distance_db,7,11.142640414703544,6.190937604004155,11.895297240435827,5,2,0,1
other_five,own_best,unfaded,pitch_mae_cents,5,223.98570328794676,144.55853247175088,180.93254182486433,0,0,5,0
other_five,own_best,unfaded,onset_mae_ms,5,128.68058856740714,85.19338616798954,114.19553640417871,0,0,5,0
other_five,own_best,unfaded,joint_event_error,5,0.19109057927635262,0.08688324270258177,0.19104879451360376,0,0,5,0
other_five,own_best,unfaded,log_spectral_distance_db,5,17.34950353055978,6.18072133188549,18.584235360179626,0,0,5,0
other_five,own_best,static_time,pitch_mae_cents,5,121.53611240562464,68.3402098037342,151.50132910996894,4,1,0,1
other_five,own_best,static_time,onset_mae_ms,5,124.74102323828038,77.85818947839314,131.21976908714035,3,2,0,1
other_five,own_best,static_time,joint_event_error,5,0.16334158168310778,0.09406621896115915,0.19481994129601263,4,1,0,1
other_five,own_best,static_time,log_spectral_distance_db,5,10.135915265450098,7.1428024653769615,11.377087288849197,4,1,0,1
other_five,common_best,unfaded,pitch_mae_cents,5,223.98570328794676,144.55853247175088,180.93254182486433,0,0,5,0
other_five,common_best,unfaded,onset_mae_ms,5,128.68058856740714,85.19338616798954,114.19553640417871,0,0,5,0
other_five,common_best,unfaded,joint_event_error,5,0.19109057927635262,0.08688324270258177,0.19104879451360376,0,0,5,0
other_five,common_best,unfaded,log_spectral_distance_db,5,17.34950353055978,6.18072133188549,18.584235360179626,0,0,5,0
other_five,common_best,static_time,pitch_mae_cents,5,127.88756560336074,77.89972865876446,140.74924205447618,4,1,0,1
other_five,common_best,static_time,onset_mae_ms,5,127.58782097553676,78.34368960646664,140.94526497273134,3,2,0,1
other_five,common_best,static_time,joint_event_error,5,0.16778557235018837,0.09643985481315111,0.20944835577325857,4,1,0,1
other_five,common_best,static_time,log_spectral_distance_db,5,10.60564657184197,7.393881204707803,12.81045777259037,4,1,0,1
other_five,last,unfaded,pitch_mae_cents,5,233.1307427883625,142.23133875550326,225.70196900122724,0,0,5,0
other_five,last,unfaded,onset_mae_ms,5,129.92036343614944,86.09818297790459,114.13889862835418,0,0,5,0
other_five,last,unfaded,joint_event_error,5,0.19355500156692285,0.08676230157875026,0.20262214779867635,0,0,5,0
other_five,last,unfaded,log_spectral_distance_db,5,17.823648675276264,6.751799485251402,18.589884941538795,0,0,5,0
other_five,last,static_time,pitch_mae_cents,5,121.4932164100187,68.314660336156,150.02334071694207,4,1,0,1
other_five,last,static_time,onset_mae_ms,5,134.093041526007,82.16663723738526,170.28169175509478,3,2,0,1
other_five,last,static_time,joint_event_error,5,0.17147339194521088,0.09702100151093845,0.2117332333232066,3,2,0,1
other_five,last,static_time,log_spectral_distance_db,5,10.462019400417953,7.237470789694563,11.895297240435827,4,1,0,1
