target_id,variant,state,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,updates,stopped_by,recovered
C04-T0005,unfaded,own_best,5.455058150283632,67.37777414554752,0.06557002076729909,11.413618064480742,1326,patience,False
C04-T0005,unfaded,common_best,5.455058150283632,67.37777414554752,0.06557002076729909,11.413618064480742,1326,patience,False
C04-T0005,unfaded,last,8.693670261662648,71.99347686239454,0.06756329796245451,11.607132165362268,1326,patience,False
C04-T0005,static_time,own_best,157.68677806753533,180.0916281761664,0.23425717257712028,14.149637282164022,434,patience,False
C04-T0005,static_time,common_best,121.09771764862138,181.0092356641252,0.22506369591639228,15.170744591233642,434,patience,False
C04-T0005,static_time,last,149.5952212516446,173.4889431057113,0.22567746303752595,15.327691479134927,434,patience,False
C04-T0003,unfaded,own_best,41.95645640896968,103.15862908403491,0.0948079103310948,16.80200847387258,1147,patience,False
C04-T0003,unfaded,common_best,41.95645640896968,103.15862908403491,0.0948079103310948,16.80200847387258,1147,patience,False
C04-T0003,unfaded,last,41.96973548066758,103.14800034008552,0.09480547357970016,16.96559195282308,1147,patience,False
C04-T0003,static_time,own_best,161.12931528857524,205.9501900611002,0.23614763109700573,18.07960098444585,398,patience,False
C04-T0003,static_time,common_best,197.27886395254905,207.21477197182963,0.2409189217730537,18.35077381046077,398,patience,False
C04-T0003,static_time,last,161.85978631777516,211.91987537910023,0.23681436838697578,18.43878001355196,398,patience,False
C04-T0007,unfaded,own_best,153.79628281835932,6.479268427018015,0.11435068222524901,7.614732873732364,1249,patience,False
C04-T0007,unfaded,common_best,153.79628281835932,6.479268427018015,0.11435068222524901,7.614732873732364,1249,patience,False
C04-T0007,unfaded,last,155.33122522118043,7.344827794612319,0.11533318671856028,7.78251264451891,1249,patience,False
C04-T0007,static_time,own_best,0.00010781103375090428,0.00016812560477141858,1.2069707951416722e-07,0.0043572105307322665,1808,patience,True
C04-T0007,static_time,common_best,0.00010781103375090428,0.00016812560477141858,1.2069707951416722e-07,0.0043572105307322665,1808,patience,True
C04-T0007,static_time,last,0.0005620542442361971,0.00042639087921569896,5.042090620232924e-07,0.026569710854334728,1808,patience,True
C06-T0000,unfaded,own_best,377.99243473349867,114.19553640417871,0.27215508542559386,19.108649633189035,1136,patience,False
C06-T0000,unfaded,common_best,377.99243473349867,114.19553640417871,0.27215508542559386,19.108649633189035,1136,patience,False
C06-T0000,unfaded,last,377.36734382109876,114.13889862835418,0.2719149828403712,19.09137782002599,1136,patience,False
C06-T0000,static_time,own_best,154.38661362478493,117.15287646833684,0.19481994129601263,11.377087288849197,1008,patience,False
C06-T0000,static_time,common_best,181.49799638822674,120.8607141627885,0.20944835577325857,12.81045777259037,1008,patience,False
C06-T0000,static_time,last,154.13590822727605,117.14628143684324,0.19467585406274776,11.895297240435827,1008,patience,False
C06-T0008,unfaded,own_best,365.25080065404177,216.16953873358855,0.28309042388622163,18.584235360179626,1673,patience,False
C06-T0008,unfaded,common_best,365.25080065404177,216.16953873358855,0.28309042388622163,18.584235360179626,1673,patience,False
C06-T0008,unfaded,last,365.2834404176386,216.17008936707768,0.28309921689730627,18.589884941538795,1673,patience,False
C06-T0008,static_time,own_best,140.66319619376029,169.38211244921976,0.21128077947703947,6.3466800511498676,690,patience,False
C06-T0008,static_time,common_best,140.74924205447618,168.9181856447296,0.21104949418389155,6.390933086370342,690,patience,False
C06-T0008,static_time,last,141.446484733856,170.28169175509478,0.2117332333232066,6.826436567014972,690,patience,False
C08-T0000,unfaded,own_best,99.72826595804446,116.17840926799505,0.13132684792192167,17.36068550893155,1452,patience,False
C08-T0000,unfaded,common_best,99.72826595804446,116.17840926799505,0.13132684792192167,17.36068550893155,1452,patience,False
C08-T0000,unfaded,last,99.72655810494646,116.17625641985558,0.13132557336931205,17.36220487607662,1452,patience,False
C08-T0000,static_time,own_best,62.80651110287447,62.501275007298545,0.10331093855418134,10.36978669010884,1617,patience,False
C08-T0000,static_time,common_best,63.50393710269465,62.382017368942655,0.10262076678508503,10.590641267015807,1617,patience,False
C08-T0000,static_time,last,62.85769055373191,62.490709774717295,0.10331670364106288,10.360694421700117,1617,patience,False
C08-T0004,unfaded,own_best,180.93254182486433,203.39997018821538,0.19104879451360376,24.637891311825285,461,patience,False
C08-T0004,unfaded,common_best,180.93254182486433,203.39997018821538,0.19104879451360376,24.637891311825285,461,patience,False
C08-T0004,unfaded,last,225.70196900122724,208.8000010506176,0.20262214779867635,26.688876017474538,461,patience,False
C08-T0004,static_time,own_best,151.50132910996894,131.21976908714035,0.1744594358484015,14.871850792274842,341,patience,False
C08-T0004,static_time,common_best,119.91161781051792,140.94526497273134,0.17751096932365865,15.471710979257638,341,patience,False
C08-T0004,static_time,last,150.02334071694207,171.11693266811756,0.21414299974406223,15.123013470232673,341,patience,False
